celkem_diváci,celkem_tržby,distributor,film,min_poř,poč_kin,poč_týd,poř,prod,rok,týden,týden_diváci,týden_tržby,víkend_diváci,víkend_tržby,změna_v_%,týden_od,víkend_od,datum,formát
6222,572143,Aerofilms,Stále spolu,16,11,3,15,CZE,2015,23,1938.0,190467.0,692,70337,-0.4724672246722467,28.05.2015,4.06.2015,,
11518,1428180,Blue Sky Film,Pírkovo dobrodružství,11,38,4,16,FRA,2015,23,2553.0,287068.0,591,70093,-0.7128654060431278,28.05.2015,4.06.2015,,
7163,940602,Intersonic,Hurá na fotbal,12,42,3,17,ESP,2015,23,1931.0,242105.0,470,58850,-0.7230627332320014,28.05.2015,4.06.2015,,
123495,14570382,Falcon,Popelka,14,18,12,18,USA,2015,23,2978.0,259392.0,596,50593,-0.7125561047667747,28.05.2015,4.06.2015,,
15471,1935646,CinemArt,Ladíme 2,15,9,4,19,USA,2015,23,1340.0,170071.0,277,37416,-0.722346725240802,28.05.2015,4.06.2015,,
691,43555,Aerofilms,Slepá,49,12,1,20,NOR,2015,23,342.0,6720.0,349,36835,4.481398809523809,28.05.2015,4.06.2015,,
62543,8499316,Falcon,Babovřesky 3,15,84,1,1,CZE,2015,4,2867.0,389812.0,54165,7467511,19.21677604149746,15.01.2015,22.01.2015,,
31716,4452388,Falcon,Velká šestka,12,59,1,2,USA,2015,4,6459.0,863628.0,24752,3503145,3.056312440078367,15.01.2015,22.01.2015,,
114218,15877392,Bioscop/AQS,Fotograf,1,54,3,3,CZE,2015,4,41033.0,5762579.0,17724,2609120,-0.37737352004745967,15.01.2015,22.01.2015,,
164454,22870379,Hollywood,Hodinový manžel ,2,46,5,4,CZE,2015,4,26722.0,3712656.0,14417,2072920,-0.27594760913773314,15.01.2015,22.01.2015,,
9898,1282001,CinemArt,Birdman,,55,1,5,USA,2015,4,,,9342,1216932,,15.01.2015,22.01.2015,,
104875,12971019,A-Company Czech,Paddington,5,57,5,6,GBR,2015,4,17103.0,2103525.0,8589,1068077,-0.4305882164781648,15.01.2015,22.01.2015,,
50588,7502226,CinemArt,Sedmý syn,3,46,3,7,GBR,2015,4,15805.0,2374444.0,5913,893176,-0.5565042739498844,15.01.2015,22.01.2015,,
6929,952582,Bontonfilm,E. A. Poe: Podivný experiment,,46,1,8,USA,2015,4,,,6387,880255,,15.01.2015,22.01.2015,,
23683,3301146,Bioscop/AQS,96 hodin: Zúčtování,4,45,2,9,FRA,2015,4,17537.0,2434930.0,5996,865376,-0.556123197437815,15.01.2015,22.01.2015,,
639246,98152625,Warner Bros,Hobit: Bitva pěti armád,6,46,7,10,USA,2015,4,13639.0,2113702.0,5033,790859,-0.5328460125344816,15.01.2015,22.01.2015,,
19011,2433321,Bontonfilm,"S láskou, Rosie",8,33,2,11,GER,2015,4,11680.0,1484365.0,4719,633445,-0.4250493311476957,15.01.2015,22.01.2015,,
244621,29718734,CinemArt,Tučňáci z Madagaskaru,9,47,9,12,USA,2015,4,8657.0,1026144.0,4632,513682,-0.45426652742202284,15.01.2015,22.01.2015,,
11870,1692549,CinemArt,Hacker,10,68,2,13,USA,2015,4,8433.0,1194734.0,3437,497815,-0.4631176845517793,15.01.2015,22.01.2015,,
91803,11895274,CinemArt,Noc v muzeu: Tajemství hrobky,11,31,6,14,USA,2015,4,7598.0,987441.0,3227,432717,-0.5035912790597629,15.01.2015,22.01.2015,,
93624,14318783,CinemArt,EXODUS: Bohové a králové,13,21,5,15,GBR,2015,4,6330.0,954544.0,1670,264205,-0.6439487252743106,15.01.2015,22.01.2015,,
36475,4635851,Mirius FD,Sněhová královna ,14,28,6,16,RUS,2015,4,3805.0,464409.0,1911,202766,-0.5306755424291382,15.01.2015,22.01.2015,,
239063,33259129,Warner Bros,Interstellar,18,7,12,17,USA,2015,4,2176.0,307840.0,896,138232,-0.316414131423824,15.01.2015,22.01.2015,,
86940,10471533,CinemArt,Co jsme komu udělali?,22,7,14,18,FRA,2015,4,855.0,77520.0,764,77762,0.5226551791658508,15.01.2015,22.01.2015,,
55156,6392235,Aerofilms,"Divoké historky
",19,6,16,19,ARG,2015,4,1390.0,147383.0,702,75890,-0.1658606287096065,15.01.2015,22.01.2015,,
780,61148,AČFK,Okno do dvora,,6,1,20,USA,2015,4,,,780,61148,,15.01.2015,22.01.2015,,
373148,47296123,Bioscop/AQS,"Tři bratři
",1,105,4,1,CZE,2014,36,68499.0,8667838.0,21194,2571569,-0.6082019274454842,28.08.2014,4.09.2014,,
14268,2020507,A-Company Czech,"Sin City: Ženská, pro kterou bych vraždil
",,104,1,2,USA,2014,36,772.0,88085.0,13496,1932422,,28.08.2014,4.09.2014,,
43400,5588399,CinemArt,"Fakjů pane učiteli
",2,47,2,3,GER,2014,36,32027.0,4101616.0,11373,1486783,-0.4979653994661516,28.08.2014,4.09.2014,,
86610,12665031,CinemArt,"Želvy Ninja
",3,46,3,4,USA,2014,36,24909.0,3644835.0,5271,799660,-0.7233389473276326,28.08.2014,4.09.2014,,
5038,674979,CinemArt,"Pod zemí
",,51,1,5,USA,2014,36,,,5038,674979,,28.08.2014,4.09.2014,,
54521,7450523,Falcon,"Sex Tape
",4,37,3,6,USA,2014,36,15971.0,2190874.0,4708,649833,-0.5968095093027541,28.08.2014,4.09.2014,,
91917,12799624,CinemArt,"Lucy
",7,35,5,7,FRA,2014,36,10028.0,1419150.0,3255,438070,-0.5669867289789834,28.08.2014,4.09.2014,,
157946,23486834,Falcon,"Strážci Galaxie
",6,32,6,8,USA,2014,36,10858.0,1566974.0,2966,429666,-0.6263679692792253,28.08.2014,4.09.2014,,
18002,2230078,Bontonfilm,"Let’s Dance All In
",5,43,2,9,USA,2014,36,14154.0,1800111.0,3139,405640,-0.6894274881632703,28.08.2014,4.09.2014,,
3320,376359,Bontonfilm,"Láska na kari
",,44,1,10,USA,2014,36,453.0,0.0,2867,376359,,28.08.2014,4.09.2014,,
2716,372154,Forum Film,"Nejhledanější muž
",,36,1,11,GBR,2014,36,,,2716,372154,,28.08.2014,4.09.2014,,
74049,10120235,Bontonfilm,"Expendables: Postradatelní 3
",9,33,4,12,USA,2014,36,8968.0,1259856.0,2035,292644,-0.6653412697051306,28.08.2014,4.09.2014,,
3202,308131,Bioscop/AQS,"Století Miroslava Zikmunda
",,33,1,13,CZE,2014,36,900.0,42653.0,2302,265478,,28.08.2014,4.09.2014,,
382324,51157275,CinemArt,Jak vycvičit draka 2,8,47,12,14,USA,2014,36,9132.0,1128320.0,1751,213916,-0.759952689866138,28.08.2014,4.09.2014,,
1173,131163,Bontonfilm,"Pošťák Pat
",,25,-2,15,GBR,2014,36,,,1173,131163,,28.08.2014,4.09.2014,,
74323,9887250,Falcon,"Letadla 2: Hasiči a záchranáři
",10,42,8,16,USA,2014,36,5918.0,699214.0,1150,130983,-0.7812907524073662,28.08.2014,4.09.2014,,
31078,3864651,Hollywood,"Kouzlo měsíčního svitu
",12,24,5,17,USA,2014,36,4415.0,533010.0,901,110044,-0.6817302325043311,28.08.2014,4.09.2014,,
131761,17331388,A-Company Czech,"Díra u Hanušovic
",11,33,7,18,CZE,2014,36,6270.0,775954.0,926,103666,-0.795333171441489,28.08.2014,4.09.2014,,
12233,1463134,CinemArt,"Chlapectví
",13,12,4,19,USA,2014,36,2279.0,271908.0,496,61272,-0.6583948930950855,28.08.2014,4.09.2014,,
108114,14767806,Falcon,Zloba - Královna černé magie,18,5,15,20,USA,2014,36,845.0,72015.0,267,39733,-0.1989153007117079,28.08.2014,4.09.2014,,
100585,14211732,Falcon,Univerzita pro příšerky,1,58,2,1,USA,2013,26,56964.0,8009707.0,43485,6197545,0.32106128358263675,20.6.2013,27.6.2013,,
33475,5123785,CinemArt,Světová válka Z,,116,1,2,USA,2013,26,1515.0,220284.0,31960,4903501,,20.6.2013,27.6.2013,,
62149,9427784,Warner Bros,Muž z oceli ,2,52,2,3,USA,2013,26,47075.0,7015729.0,13293,2119110,-0.5354997633780193,20.6.2013,27.6.2013,,
12847,1819799,CinemArt,Já padouch 2,,32,-1,4,USA,2013,26,,,12847,1819799,,20.6.2013,27.6.2013,,
54260,7241806,Bontonfilm,Podfukáři,3,36,3,5,USA,2013,26,20032.0,2748288.0,9512,1328487,-0.0644846446520884,20.6.2013,27.6.2013,,
155578,21467159,Warner Bros,Velký Gatsby ,7,35,7,6,AUS,2013,26,10928.0,1214009.0,6643,698219,0.45214217378644816,20.6.2013,27.6.2013,,
75896,11978532,CinemArt,Star Trek: Do temnoty,4,30,4,7,USA,2013,26,9452.0,1453319.0,4006,623467,-0.2643951970191975,20.6.2013,27.6.2013,,
78556,10691987,CinemArt,Království lesních strážců,9,42,5,8,USA,2013,26,5256.0,561127.0,4547,491223,0.7829265194272544,20.6.2013,27.6.2013,,
99812,13305516,Warner Bros,Pařba na třetí,6,24,5,9,USA,2013,26,7603.0,1014925.0,3055,428148,-0.20150542527518026,20.6.2013,27.6.2013,,
22042,2985814,Falcon,Po zániku země,5,48,3,10,USA,2013,26,7739.0,1051178.0,2866,362800,-0.4246292918880343,20.6.2013,27.6.2013,,
175118,23035209,CinemArt,Croodsovi,12,35,15,11,USA,2013,26,5312.0,354117.0,4224,317089,2.9235918629974265,20.6.2013,27.6.2013,,
168120,22961791,CinemArt,Rychle a zběsile 6,8,19,6,12,USA,2013,26,6617.0,766501.0,2124,281117,-0.23491629766515257,20.6.2013,27.6.2013,,
1255,184601,CinemArt,Stážisti,,13,-2,13,USA,2013,26,,,1255,184601,,20.6.2013,27.6.2013,,
237287,27195686,CinemArt,Čtyřlístek ve službách krále,17,22,18,14,CZE,2013,26,6789.0,371564.0,2849,175023,2.8066684066292575,20.6.2013,27.6.2013,,
260628,37848364,Falcon,Iron Man 3,16,16,9,15,USA,2013,26,2851.0,267607.0,1791,155491,1.3660696623400337,20.6.2013,27.6.2013,,
41333,4057931,Bontonfilm,Kovář z Podlesí,15,23,7,16,CZE,2013,26,4518.0,271998.0,2243,150070,1.042157689900117,20.6.2013,27.6.2013,,
3876,514831,Bontonfilm,Bling Ring: Jako VIPky,10,22,2,17,USA,2013,26,2770.0,366723.0,1106,148108,-0.2203118584108066,20.6.2013,27.6.2013,,
4656,590684,CinemArt,Trans,11,15,3,18,GBR,2013,26,1794.0,229911.0,635,82559,-0.25622522522522523,20.6.2013,27.6.2013,,
618170,83355834,Falcon,Babovřesky,13,9,20,19,CZE,2013,26,2069.0,162579.0,906,80098,0.01575022826417774,20.6.2013,27.6.2013,,
14125,1602451,D-Cinema,Neuvěřitelná dobrodružství Tada Stonese,25,23,8,20,ESP,2013,26,376.0,34211.0,1151,78075,4.073758773069924,20.6.2013,27.6.2013,,
40157,6242289,Warner Bros,300: Vzestup říše,,78,1,1,USA,2014,10,1904.0,278225.0,38253,5964064,,27.2.2014,6.3.2014,,
177138,24153862,Falcon,Babovřesky 2,1,85,3,2,CZE,2014,10,52685.0,7258487.0,22332,2974505,-0.48973510700620226,27.2.2014,6.3.2014,,
18562,2558138,CinemArt,Dobrodružství pana Peabodyho a Shermana,12,103,1,3,USA,2014,10,2981.0,451310.0,15581,2106828,3.6682502049588974,27.2.2014,6.3.2014,,
9874,1327512,Falcon,Fair Play,,40,1,4,CZE,2014,10,152.0,0.0,9722,1327512,,27.2.2014,6.3.2014,,
158506,21273922,Warner Bros,LEGO® příběh,4,44,5,5,AUS,2014,10,15481.0,2115502.0,6659,900759,-0.43738640097037773,27.2.2014,6.3.2014,,
23867,3134388,CinemArt,Památkáři,3,50,2,6,USA,2014,10,16755.0,2247990.0,5789,817727,-0.5144418640969017,27.2.2014,6.3.2014,,
28797,3797594,Hollywood,Velká oříšková loupež,2,62,2,7,CAN,2014,10,20696.0,2713550.0,5960,775742,-0.6493937149192366,27.2.2014,6.3.2014,,
282882,39592402,Bontonfilm,Vlk z Wall Street,7,32,8,8,USA,2014,10,9192.0,1296572.0,3937,572905,-0.3773638015580441,27.2.2014,6.3.2014,,
13461,1887677,Bontonfilm,NON-STOP,5,30,2,9,USA,2014,10,10112.0,1404806.0,3349,482871,-0.5413520336925611,27.2.2014,6.3.2014,,
3579,443155,Hollywood,Vampire Academy,,48,1,10,USA,2014,10,62.0,0.0,3517,443155,,27.2.2014,6.3.2014,,
8604,1058245,Bioscop/AQS,Kandidát,8,43,2,11,SVK,2014,10,5774.0,809620.0,1739,248625,-0.5692716815079173,27.2.2014,6.3.2014,,
231048,39281162,Warner Bros,Gravitace ,21,12,23,12,USA,2014,10,1607.0,286602.0,1451,246892,0.8862700456111667,27.2.2014,6.3.2014,,
139163,18531268,A-Company Czech,Vejška,11,18,7,13,CZE,2014,10,4790.0,651914.0,1730,236117,-0.49898679975131505,27.2.2014,6.3.2014,,
108881,15136714,Falcon,Dědictví aneb Kurva se neříká,9,21,5,14,CZE,2014,10,5292.0,722890.0,1678,233355,-0.5735876707622813,27.2.2014,6.3.2014,,
20840,2691163,Bontonfilm,12 let v řetězech,23,12,7,15,USA,2014,10,1532.0,184663.0,1531,212453,1.669342882271642,27.2.2014,6.3.2014,,
14227,1694954,Bontonfilm,Bella a Sebastián,13,30,3,16,FRA,2014,10,3891.0,479943.0,1639,182607,-0.48188805692770825,27.2.2014,6.3.2014,,
248610,30617276,Falcon,Ledové království,14,19,15,17,USA,2014,10,3854.0,440366.0,1421,173710,-0.421843537301759,27.2.2014,6.3.2014,,
8061,1000647,Bioscop/AQS,Angelika,10,51,2,18,FRA,2014,10,4802.0,639215.0,1063,142918,-0.7142228700887617,27.2.2014,6.3.2014,,
26517,3449245,Bontonfilm,Blízko od sebe,19,13,6,19,USA,2014,10,1809.0,256725.0,946,128949,-0.29096307700767055,27.2.2014,6.3.2014,,
1549,132991,Bioscop/AQS,Philomena,,23,1,20,GBR,2014,10,143.0,0.0,1376,128577,,27.2.2014,6.3.2014,,
76374,11881464,Warner Bros,300: Vzestup říše,1,70,2,1,USA,2014,11,50523.0,7828016.0,23947,3775223,-0.3714063215971697,6.3.2014,13.3.2014,,
21331,3224019,Bontonfilm,Need for Speed,,68,1,2,USA,2014,11,1319.0,81566.0,20012,3142453,,6.3.2014,13.3.2014,,
41470,5666873,CinemArt,Dobrodružství pana Peabodyho a Shermana,3,80,2,3,USA,2014,11,18679.0,2521553.0,19810,2694010,0.26602200351232863,6.3.2014,13.3.2014,,
197067,26822121,Falcon,Babovřesky 2,2,70,4,4,CZE,2014,11,27496.0,3653193.0,14617,1970526,-0.33928954025821184,6.3.2014,13.3.2014,,
25123,3337920,Falcon,Fair Play,4,57,2,5,CZE,2014,11,14404.0,1930130.0,10567,1407790,0.05102721879708117,6.3.2014,13.3.2014,,
11412,1404955,CinemArt,Grandhotel Budapešť,,63,1,6,USA,2014,11,,,10919,1404955,,6.3.2014,13.3.2014,,
170600,22818452,Warner Bros,LEGO® příběh,6,66,6,7,AUS,2014,11,8250.0,1107932.0,10487,1335497,0.47849889126172535,6.3.2014,13.3.2014,,
8561,1109126,35 mm,Kráska a zvíře,,57,1,8,FRA,2014,11,,,8561,1109126,,6.3.2014,13.3.2014,,
38085,4968287,Hollywood,Velká oříšková loupež,8,55,3,9,CAN,2014,11,7074.0,921271.0,7987,1003474,0.2753588191409184,6.3.2014,13.3.2014,,
6885,947041,Falcon,Zvonilka a piráti,,26,-1,10,USA,2014,11,,,6885,947041,,6.3.2014,13.3.2014,,
287717,40265135,Bontonfilm,Vlk z Wall Street,9,26,9,11,USA,2014,11,5426.0,765475.0,3288,474363,-0.18264712723889276,6.3.2014,13.3.2014,,
4329,465717,Aerofilms,Trabantem až na konec světa,79,18,1,12,CZE,2014,11,280.0,0.0,4049,465717,,6.3.2014,13.3.2014,,
29154,3834755,CinemArt,Památkáři,7,35,3,13,USA,2014,11,7995.0,1108991.0,2972,395963,-0.5190111597408734,6.3.2014,13.3.2014,,
2790,364533,Bontonfilm,Koleje osudu,78,26,1,14,AUS,2014,11,292.0,0.0,2498,364533,,6.3.2014,13.3.2014,,
6738,836351,Hollywood,Vampire Academy,11,35,2,15,USA,2014,11,4917.0,612043.0,1759,224308,-0.4938384989450644,6.3.2014,13.3.2014,,
16572,1937287,Bontonfilm,Bella a Sebastián,18,23,4,16,FRA,2014,11,2018.0,210213.0,1966,214727,0.17589687142332988,6.3.2014,13.3.2014,,
250964,30860372,Falcon,Ledové království,19,20,16,17,USA,2014,11,1783.0,203883.0,1986,212143,0.22124805710667203,6.3.2014,13.3.2014,,
15987,2236891,Bontonfilm,NON-STOP,10,19,3,18,USA,2014,11,4570.0,647148.0,1305,184937,-0.6170053699642347,6.3.2014,13.3.2014,,
110898,15385558,Falcon,Dědictví aneb Kurva se neříká,16,19,6,19,CZE,2014,11,2197.0,299586.0,1407,171238,-0.2661909965503203,6.3.2014,13.3.2014,,
140915,18767805,A-Company Czech,Vejška,15,13,8,20,CZE,2014,11,2402.0,322076.0,1080,150578,-0.3622737879949347,6.3.2014,13.3.2014,,
32781,4451063,Falcon,10 pravidel jak sbalit holku,,67,1,1,CZE,2014,12,1118.0,121840.0,29341,4075463,,13.3.2014,20.3.2014,,
25399,3525873,Falcon,Zvonilka a piráti,10,54,1,2,USA,2014,12,7308.0,1027168.0,18091,2498705,1.6384338164873538,13.3.2014,20.3.2014,,
12067,1808373,Bontonfilm,Pompeje ,,85,1,3,USA,2014,12,310.0,18155.0,11757,1790218,,13.3.2014,20.3.2014,,
93048,14505422,Warner Bros,300: Vzestup říše,1,44,3,4,USA,2014,12,31069.0,4879164.0,9515,1514547,-0.5995119194722659,13.3.2014,20.3.2014,,
54091,7357119,CinemArt,Dobrodružství pana Peabodyho a Shermana,3,66,3,5,USA,2014,12,21483.0,2917097.0,10948,1467159,-0.45870080134590696,13.3.2014,20.3.2014,,
35545,5375604,Bontonfilm,Need for Speed,2,49,2,6,USA,2014,12,25389.0,3907055.0,8837,1386983,-0.5586304711637692,13.3.2014,20.3.2014,,
23167,2917088,CinemArt,Grandhotel Budapešť,5,40,2,7,USA,2014,12,15531.0,1973731.0,7143,943357,-0.33728586733170585,13.3.2014,20.3.2014,,
207267,28120159,Falcon,Babovřesky 2,4,51,5,8,CZE,2014,12,18385.0,2453380.0,6215,788059,-0.6110897259374849,13.3.2014,20.3.2014,,
34082,4511341,Falcon,Fair Play,6,55,3,9,CZE,2014,12,14063.0,1857695.0,5411,718596,-0.49051282233077853,13.3.2014,20.3.2014,,
175941,23487666,Warner Bros,LEGO® příběh,7,42,7,10,AUS,2014,12,11010.0,1404930.0,4818,599781,-0.5525481615323958,13.3.2014,20.3.2014,,
14501,1875792,35 mm,Kráska a zvíře,8,44,2,11,FRA,2014,12,10422.0,1343746.0,4079,532046,-0.520301570786367,13.3.2014,20.3.2014,,
41516,5377125,Hollywood,Velká oříšková loupež,9,48,4,12,CAN,2014,12,8447.0,1058184.0,2971,354128,-0.6470979816118804,13.3.2014,20.3.2014,,
8864,999345,Aerofilms,Trabantem až na konec světa,13,20,2,13,CZE,2014,12,5988.0,686084.0,2596,313261,-0.3273576012900538,13.3.2014,20.3.2014,,
290197,40614529,Bontonfilm,Vlk z Wall Street,12,23,10,14,USA,2014,12,4234.0,603516.0,1534,220241,-0.5439040098740274,13.3.2014,20.3.2014,,
5093,672422,Bontonfilm,Koleje osudu,15,26,2,15,AUS,2014,12,3561.0,507520.0,1240,164902,-0.5476349191979876,13.3.2014,20.3.2014,,
31014,4079930,CinemArt,Památkáři,14,18,4,16,USA,2014,12,3968.0,522309.0,843,116379,-0.7077101589047702,13.3.2014,20.3.2014,,
252159,30982413,Falcon,Ledové království,18,12,17,17,USA,2014,12,2234.0,230380.0,947,103804,-0.5106885449908788,13.3.2014,20.3.2014,,
18673,2053701,Bontonfilm,Bella a Sebastián,17,15,5,18,FRA,2014,12,2462.0,245771.0,1561,80970,-0.6229165405375198,13.3.2014,20.3.2014,,
16987,2374706,Bontonfilm,NON-STOP,19,12,4,19,USA,2014,12,1762.0,245319.0,543,77433,-0.5813006591433839,13.3.2014,20.3.2014,,
112518,15527356,Falcon,Dědictví aneb Kurva se neříká,20,12,7,20,CZE,2014,12,2310.0,242652.0,717,70384,-0.5889697380254383,13.3.2014,20.3.2014,,
35133,5208826,CinemArt,Noe,,118,1,1,USA,2014,13,1923.0,166540.0,33210,5042286,,20.3.2014,27.3.2014,,
59386,8068499,Falcon,10 pravidel jak sbalit holku,1,65,2,2,CZE,2014,13,38806.0,5338337.0,17140,2354562,-0.42225901695095747,20.3.2014,27.3.2014,,
40206,5551595,Falcon,Zvonilka a piráti,2,82,2,3,USA,2014,13,21366.0,2953345.0,11532,1571082,-0.3712415030986051,20.3.2014,27.3.2014,,
20975,3177863,Bontonfilm,Pompeje ,3,45,2,4,USA,2014,13,15849.0,2402144.0,4816,757564,-0.5796178202569914,20.3.2014,27.3.2014,,
100446,15663201,Warner Bros,300: Vzestup říše,4,37,4,5,USA,2014,13,12752.0,2018311.0,4141,652015,-0.5709346499808834,20.3.2014,27.3.2014,,
31985,4050703,CinemArt,Grandhotel Budapešť,7,27,3,6,USA,2014,13,11169.0,1438465.0,4792,638507,-0.34075785687220134,20.3.2014,27.3.2014,,
60004,8143198,CinemArt,Dobrodružství pana Peabodyho a Shermana,5,59,4,7,USA,2014,13,12128.0,1625512.0,4733,627726,-0.5769179442177585,20.3.2014,27.3.2014,,
41314,6221138,Bontonfilm,Need for Speed,6,34,3,8,USA,2014,13,11600.0,1793587.0,3006,438930,-0.6835361356267524,20.3.2014,27.3.2014,,
213150,28793185,Falcon,Babovřesky 2,9,40,6,9,CZE,2014,13,9061.0,1086169.0,3037,374916,-0.5242538946957017,20.3.2014,27.3.2014,,
4270,454338,Bioscop/AQS,Yves Saint Laurent,29,29,1,10,FRA,2014,13,1688.0,99181.0,2582,355157,7.927355905788905,20.3.2014,27.3.2014,,
39948,5226256,Falcon,Fair Play,10,39,4,11,CZE,2014,13,8542.0,1095308.0,2706,334723,-0.539713643726812,20.3.2014,27.3.2014,,
3425,380605,Falcon,Ona,26,28,1,12,USA,2014,13,938.0,50463.0,2381,330142,5.542258684580782,20.3.2014,27.3.2014,,
178505,23790010,Warner Bros,LEGO® příběh,11,39,8,13,AUS,2014,13,5398.0,654997.0,1984,247128,-0.5879696089072511,20.3.2014,27.3.2014,,
1745,229505,Blue Sky Film,(Ne)zadaní,,16,1,14,USA,2014,13,,,1745,229505,,20.3.2014,27.3.2014,,
17192,2218949,35 mm,Kráska a zvíře,12,38,3,15,FRA,2014,13,5039.0,654751.0,1731,220452,-0.5856523684042357,20.3.2014,27.3.2014,,
43216,5569686,Hollywood,Velká oříšková loupež,13,36,5,16,CAN,2014,13,3362.0,396716.0,1235,145533,-0.5965127755844386,20.3.2014,27.3.2014,,
11857,1323775,Aerofilms,Trabantem až na konec světa,14,18,3,17,CZE,2014,13,4442.0,512978.0,1147,124713,-0.6530941499467318,20.3.2014,27.3.2014,,
1727,174618,35 mm,Přežijí jen milenci,28,27,1,18,GBR,2014,13,787.0,55447.0,940,119171,1.9299781181619255,20.3.2014,27.3.2014,,
291360,40775862,Bontonfilm,Vlk z Wall Street,16,9,11,19,USA,2014,13,2207.0,308110.0,490,73464,-0.6664381291403508,20.3.2014,27.3.2014,,
253666,31070118,Falcon,Ledové království,20,10,18,20,USA,2014,13,1533.0,134490.0,921,57019,-0.45070517513775965,20.3.2014,27.3.2014,,
36894,5628711,Falcon,Captain America: Návrat prvního Avengera,,67,1,1,USA,2014,14,32.0,4083.0,36862,5624628,,27.3.2014,3.4.2014,,
60431,9064079,CinemArt,Noe,1,73,2,2,USA,2014,14,41775.0,6296125.0,16733,2601414,-0.48756221257524307,27.3.2014,3.4.2014,,
76144,10317523,Falcon,10 pravidel jak sbalit holku,2,81,3,3,CZE,2014,14,21889.0,2977122.0,11835,1602384,-0.3219637858020575,27.3.2014,3.4.2014,,
50092,6849555,Falcon,Zvonilka a piráti,3,85,3,4,USA,2014,14,12905.0,1755450.0,8513,1113592,-0.3009826236188721,27.3.2014,3.4.2014,,
5900,915992,CinemArt,Rio 2,,29,-1,5,USA,2014,14,,,5900,915992,,27.3.2014,3.4.2014,,
38429,4882022,CinemArt,Grandhotel Budapešť,6,26,4,6,USA,2014,14,7173.0,923071.0,4063,546755,-0.14810059722003655,27.3.2014,3.4.2014,,
64572,8746002,CinemArt,Dobrodružství pana Peabodyho a Shermana,7,51,5,7,USA,2014,14,5334.0,709237.0,3967,521293,-0.18032598714416898,27.3.2014,3.4.2014,,
24996,3801563,Bontonfilm,Pompeje ,4,40,3,8,USA,2014,14,6369.0,990174.0,2377,377440,-0.5024610671566831,27.3.2014,3.4.2014,,
7596,909873,Bioscop/AQS,Yves Saint Laurent,11,27,2,9,FRA,2014,14,3919.0,528813.0,1989,281879,-0.2063256531618411,27.3.2014,3.4.2014,,
103738,16160504,Warner Bros,300: Vzestup říše,5,34,5,10,USA,2014,14,5552.0,867080.0,1864,280538,-0.57019832545598,27.3.2014,3.4.2014,,
6393,757251,Falcon,Ona,13,22,2,11,USA,2014,14,3617.0,469706.0,1732,237082,-0.2818787067383126,27.3.2014,3.4.2014,,
42932,5592810,Falcon,Fair Play,12,36,5,12,CZE,2014,14,3813.0,466922.0,1877,234355,-0.30123172611611204,27.3.2014,3.4.2014,,
180792,24050963,Warner Bros,LEGO® příběh,14,44,9,13,AUS,2014,14,2210.0,276874.0,2061,231207,-0.08886813420660629,27.3.2014,3.4.2014,,
