celkem_diváci,celkem_tržby,distributor,film,min_poř,poč_kin,poč_týd,poř,prod,rok,týden,týden_diváci,týden_tržby,víkend_diváci,víkend_tržby,změna_v_%,týden_od,víkend_od,datum,formát
157233,20751339,Bontonfilm,Život je život,1,73,3,1,CZE,2015,23,43378.0,5887758.0,11718,1582002,-0.6589748564333385,28.05.2015,4.06.2015,,
118412,17542415,Freeman Entertainment,Šílený Max: Zběsilá cesta,2,52,4,2,AUS,2015,23,19706.0,2945778.0,6396,952774,-0.5477669911207455,28.05.2015,4.06.2015,,
9978,1121873,Bohemia Motion Pictures,Sedmero krkavců,13,139,1,3,CZE,2015,23,2417.0,191115.0,7561,930758,3.947813837280387,28.05.2015,4.06.2015,,
6278,857545,Falcon,Insidious 3: Počátek,,59,1,4,USA,2015,23,,,6278,857545,,28.05.2015,4.06.2015,,
5892,790572,CinemArt,Špión,27,86,1,5,USA,2015,23,268.0,36233.0,5624,754339,19.819115171252726,28.05.2015,4.06.2015,,
22680,3384579,Freeman Entertainment,San Andreas,3,48,2,6,USA,2015,23,17587.0,2630830.0,4921,753749,-0.6338747541553753,28.05.2015,4.06.2015,,
315836,48094199,Falcon,Avengers: Age of Ultron,4,41,6,7,USA,2015,23,10832.0,1539471.0,3252,477608,-0.6009744881931866,28.05.2015,4.06.2015,,
10454,1320280,Bontonfilm,Dítě číslo 44,5,39,2,8,USA,2015,23,8225.0,1074148.0,1776,246132,-0.6973368862830644,28.05.2015,4.06.2015,,
22488,3048061,Falcon,Země zítřka,6,61,3,9,USA,2015,23,6246.0,828966.0,1708,230367,-0.6484835630317753,28.05.2015,4.06.2015,,
6743,880659,Forum Film,Divoká dvojka,8,38,2,10,USA,2015,23,5150.0,677554.0,1267,174365,-0.6689148518837096,28.05.2015,4.06.2015,,
18826,2817381,Forum Film,Poltergeist,7,29,3,11,USA,2015,23,4613.0,689499.0,847,130700,-0.7551966855092171,28.05.2015,4.06.2015,,
768,106215,Indigo Film,Druhá míza,,35,1,12,USA,2015,23,,,768,106215,,28.05.2015,4.06.2015,,
106785,11818587,Bohemia Motion Pictures,Ovečka Shaun ve filmu,9,25,10,13,GBR,2015,23,3399.0,326291.0,969,87308,-0.6707073297678945,28.05.2015,4.06.2015,,
112330,13736249,CinemArt,Konečně doma,10,19,11,14,USA,2015,23,4694.0,444289.0,734,78227,-0.7038056545263851,28.05.2015,4.06.2015,,
