poř.,titul,titul orig.,distributor,formát,premiéra,produkce,předst.,diváci,tržby,předst._celkem,diváci_celkem,tržby_celkem,rok,předst,předst_celkem,číslo,úprava,kopií,čisté tržby,pořadí,český název,orig. název,země,diváků,čistá tržba,titul cz,titul orig,prod
11,Přání k narozeninám,Přání k narozeninám,Bioscop/AQS ,"DVD, 2D, MP4",2023-01-19 00:00:00,CZE,5570,269358,31690725.41,5591,270417,31877157.01,2023,,,,,,,,,,,,,,,
12,BUĎ CHLAP!,BUĎ CHLAP!,Bioscop/AQS ,"DVD, 2D, MP4",2023-03-23 00:00:00,CZE,6850,251769,31824254.09,6850,251769,31824254.09,2023,,,,,,,,,,,,,,,
13,Spider-Man: Napříč paralelními světy,Spider-Man: Across the Spider-Verse,Falcon ,"2D, IM2, 4D2",2023-06-01 00:00:00,USA,8927,228503,40841074.51,8927,228503,40841074.51,2023,,,,,,,,,,,,,,,
14,Indiana Jones a nástroj osudu ,Indiana Jones and the Dial of Destiny,Falcon ,"2D, IM2, 4D2",2023-06-29 00:00:00,USA,7610,221602,42007707.04,7610,221602,42007707.04,2023,,,,,,,,,,,,,,,
15,Nikdy neříkej nikdy,Nikdy neříkej nikdy,Bontonfilm ,"2D, MP4",2023-08-03 00:00:00,CZE,5669,189287,31857740.52,5669,189287,31857740.52,2023,,,,,,,,,,,,,,,
16,Rychle a zběsile 10,Fast X,CinemArt ,"DVD, 2D, BR, IM2, 4D2",2023-05-18 00:00:00,USA,7350,187619,35256704.76,7350,187619,35256704.76,2023,,,,,,,,,,,,,,,
17,John Wick: Kapitola 4,John Wick: Chapter 4,Vertical Ent. ,"2D, IM2, 4D2",2023-03-23 00:00:00,USA,5947,183276,35072455.12,5947,183276,35072455.12,2023,,,,,,,,,,,,,,,
18,Dungeons & Dragons: Čest zlodějů,Dungeons & Dragons: Honor Among Thieves,CinemArt ,"DVD, 2D, BR, IM2, 4D2",2023-03-30 00:00:00,USA,7907,181707,32798678.44,7907,181707,32798678.44,2023,,,,,,,,,,,,,,,
19,Wonka,Wonka,Vertical Ent. ,"2D, IM2, 4D2",2023-12-14 00:00:00,USA,4184,165685,30911284,4184,165685,30911284,2023,,,,,,,,,,,,,,,
20,Ant-Man a Wasp: Quantumania,Ant-Man and the Wasp: Quantumania,Falcon ,"2D, 3D, IM3, 4D3",2023-02-16 00:00:00,USA,7344,163157,30786541.33,7344,163157,30786541.33,2023,,,,,,,,,,,,,,,
21,Pět nocí u Freddyho,Five Nights At Freddy’s ,CinemArt ,2D,2023-11-02 00:00:00,USA,4493,155804,29275301,4493,155804,29275301,2023,,,,,,,,,,,,,,,
22,Hunger Games: Balada o ptácích a hadech,The Hunger Games: The Ballad of Songbirds and Snakes,Forum Film  ,"2D, IM2, 4D2",2023-11-16 00:00:00,USA,4906,142066,27764225,4906,142066,27764225,2023,,,,,,,,,,,,,,,
23,Trollové 3,Trolls Band Together,CinemArt ,"2D, 4D2",2023-11-16 00:00:00,USA,4824,134974,21928699,4824,134974,21928699,2023,,,,,,,,,,,,,,,
24,Napoleon,Napoleon,Falcon ,"2D, IM2, 4D2",2023-11-23 00:00:00,USA,4418,132802,25492307.5,4418,132802,25492307.5,2023,,,,,,,,,,,,,,,
25,Asterix a Obelix: Říše středu,Astérix & Obélix: L’Empire du Milieu,Bioscop/AQS ,"DVD, 2D, MP4",2023-02-02 00:00:00,FRA,4851,123849,20047176.91,4851,123849,20047176.91,2023,,,,,,,,,,,,,,,
26,Bod obnovy,Bod obnovy,Bioscop/AQS ,"2D, MP4",2023-09-21 00:00:00,CZE,5411,115388,19611428.93,5411,115388,19611428.93,2023,,,,,,,,,,,,,,,
27,Bratři,Bratři,CinemArt ,2D,2023-10-26 00:00:00,CZE,4026,112632,19703779,4026,112632,19703779,2023,,,,,,,,,,,,,,,
28,Gran Turismo,Gran Turismo,Falcon ,"2D, IM2, 4D2",2023-08-10 00:00:00,USA,5436,111988,20972534.46,5436,111988,20972534.46,2023,,,,,,,,,,,,,,,
29,Děti Nagana,Děti Nagana,Bontonfilm ,"2D, MP4",2023-02-22 00:00:00,CZE,4082,107744,14847693,4082,107744,14847693,2023,,,,,,,,,,,,,,,
