poř.,titul,titul orig.,distributor,formát,premiéra,produkce,předst.,diváci,tržby,předst._celkem,diváci_celkem,tržby_celkem,rok,předst,předst_celkem,číslo,úprava,kopií,čisté tržby,pořadí,český název,orig. název,země,diváků,čistá tržba,titul cz,titul orig,prod
33,Zpívej 2,Sing 2,CinemArt,2D,2021-12-23 00:00:00,USA,1737,42471,6276339.9,1737,42471,6276339.9,2021,,,,,,,,,,,,,,,
34,Encanto,Encanto,Falcon,"2D, 3D",2021-11-25 00:00:00,USA,3911,42020,6298463.8,3911,42020,6298463.8,2021,,,,,,,,,,,,,,,
35,Kurz manželské touhy,Kurz manželské touhy,CinemArt,2D,2021-10-28 00:00:00,CZE,2595,37624,5927234.2,2595,37624,5927234.2,2021,,,,,,,,,,,,,,,
36,Šťastný nový rok 2,Šťastný nový rok 2,Falcon,2D,2021-12-24 00:00:00,CZE,853,32953,5142140.1,853,32953,5142140.1,2021,,,,,,,,,,,,,,,
37,Jedině Tereza,Jedině Tereza,CinemArt,"2D, MP4",2021-09-09 00:00:00,CZE,2483,31790,4648919.02,2483,31790,4648919.02,2021,,,,,,,,,,,,,,,
38,Shoky & Morthy: Poslední velká akce,Shoky & Morthy: Poslední velká akce,Falcon,"2D, MP4",2021-08-05 00:00:00,CZE,1631,31407,4855367.6,1631,31407,4855367.6,2021,,,,,,,,,,,,,,,
39,Rozbitý robot Ron,Ron's Gone Wrong,Falcon,"2D, 3D",2021-10-21 00:00:00,USA,2596,29778,4484472.9,2596,29778,4484472.9,2021,,,,,,,,,,,,,,,
40,Zhoubné zlo ,Malignant,Vertical,2D,2021-09-09 00:00:00,USA,2011,28366,4840220,2011,28366,4840220,2021,,,,,,,,,,,,,,,
41,Láska na špičkách,Láska na špičkách,Bohemia MP,"2D, MP4",2021-10-14 00:00:00,CZE,1575,27397,4269330,1575,27397,4269330,2021,,,,,,,,,,,,,,,
42,Princezna zakletá v čase,Princezna zakletá v čase,Bohemia MP,"2D, BR, MP4",2020-09-17 00:00:00,CZE,479,26686,1604620,3669,84782,9840124,2021,,,,,,,,,,,,,,,
43,Šarlatán,Šarlatán,CinemArt,"DVD, 2D, MP4",2020-08-20 00:00:00,CZE,612,25413,2294454.14,8020,278099,40689089,2021,,,,,,,,,,,,,,,
44,Halloween zabíjí,Halloween Kills,CinemArt,2D,2021-10-21 00:00:00,USA,1386,24828,4052281,1386,24828,4052281,2021,,,,,,,,,,,,,,,
45,Space Jam: Nový začátek,Space Jam: A New Legacy,Vertical,2D,2021-07-15 00:00:00,USA,1613,23963,3734840,1613,23963,3734840,2021,,,,,,,,,,,,,,,
46,Raya a drak,Raya and the Last Dragon,Falcon,"2D, 4D2",2021-07-15 00:00:00,USA,1875,23928,3371997.31,1875,23928,3371997.31,2021,,,,,,,,,,,,,,,
47,Vlk a lev: Nečekané přátelství,Le loup et le lion,Bontonfilm,2D,2021-10-14 00:00:00,FRA,1574,23853,3487631.89,1574,23853,3487631.89,2021,,,,,,,,,,,,,,,
48,VYŠEHRAD: Seryjál,VYŠEHRAD: Seryjál,Bioscop/AQS,"DVD, 2D, BR, MP4",2021-07-08 00:00:00,CZE,847,22974,3041213,847,22974,3041213,2021,,,,,,,,,,,,,,,
49,Ubal a zmiz,Ubal a zmiz,CinemArt,"DVD, 2D, MP4",2021-07-08 00:00:00,CZE,1359,22768,3302184,1359,22768,3302184,2021,,,,,,,,,,,,,,,
50,Duše,Soul,Falcon,"2D, 3D",2021-06-03 00:00:00,USA,2227,22675,2848764.34,2227,22675,2848764.34,2021,,,,,,,,,,,,,,,
1,V síti,V síti,Aerofilms,"2D, MP4",2020-02-27 00:00:00,CZE,10360,413250,61068068.73,10360,413250,61068068.73,2020,,,,,,,,,,,,,,,
2,Příliš osobní známost,Příliš osobní známost,Bioscop/AQS,"DVD, 2D, MP4",2020-01-23 00:00:00,CZE,6262,312807,46406270.68,6262,312807,46406270.68,2020,,,,,,,,,,,,,,,
3,3Bobule,3Bobule,Bioscop/AQS,"DVD, 2D, BR",2020-06-25 00:00:00,CZE,10709,297008,37794963.49,10709,297008,37794963.49,2020,,,,,,,,,,,,,,,
4,Šarlatán,Šarlatán,CinemArt,"2D, MP4",2020-08-20 00:00:00,CZE,7408,252686,38394634.86,7408,252686,38394634.86,2020,,,,,,,,,,,,,,,
5,Chlap na střídačku,Chlap na střídačku,Bohemia MP,"2D, BR, MP4",2020-02-10 00:00:00,CZE,6614,238438,34207978,6614,238438,34207978,2020,,,,,,,,,,,,,,,
6,Ježek Sonic,Sonic the Hedgehog,CinemArt,"DVD, 2D, BR, 4D2",2020-02-20 00:00:00,USA,7257,205845,30385348.8,7257,205845,30385348.8,2020,,,,,,,,,,,,,,,
7,Jumanji: Další level,Jumanji: The Next Level,Falcon,"DVD, 2D, 3D, IM2, 4D2, 4D3",2019-12-05 00:00:00,USA,5351,165861,25356109.09,11853,512572,75534166.79,2020,,,,,,,,,,,,,,,
8,Šťastný nový rok ,Šťastný nový rok ,Bontonfilm,"DVD, 2D, MP4",2019-12-26 00:00:00,CZE,4084,164261,24580122.5,5274,279185,41925994.9,2020,,,,,,,,,,,,,,,
9,Ledové království II,Frozen II,Falcon,"DVD, 2D, 3D, 4D3",2019-11-21 00:00:00,USA,4320,156403,21181748.54,15211,906187,129274256.44,2020,,,,,,,,,,,,,,,
10,Dolittle,Dolittle,CinemArt,"DVD, 2D, 3D, BR, 4D3",2020-01-16 00:00:00,USA,5740,156143,23929581.68,5740,156143,23929581.68,2020,,,,,,,,,,,,,,,
11,Havel,Havel,Bontonfilm,"2D, MP4",2020-07-23 00:00:00,CZE,6333,153907,22961340.11,6333,153907,22961340.11,2020,,,,,,,,,,,,,,,
12,Tenet,Tenet,Vertical,"2D, IM2, 4D2",2020-08-27 00:00:00,USA,7319,145535,25421910.56,7319,145535,25421910.56,2020,,,,,,,,,,,,,,,
13,Bábovky,Bábovky,CinemArt,2D,2020-09-24 00:00:00,CZE,5715,144891,22391512.65,5715,144891,22391512.65,2020,,,,,,,,,,,,,,,
14,Vlastníci,Vlastníci,CinemArt,"DVD, 2D, MP4",2019-11-21 00:00:00,CZE,3060,130954,16408245.4,7572,321517,44914193.6,2020,,,,,,,,,,,,,,,
15,After: Přiznání,After We Collided,Bontonfilm,2D,2020-09-03 00:00:00,USA,4833,113349,17346017.42,4833,113349,17346017.42,2020,,,,,,,,,,,,,,,
16,Scoob!,Scoob!,Vertical,2D,2020-07-16 00:00:00,USA,6940,111475,16484848.89,6940,111475,16484848.89,2020,,,,,,,,,,,,,,,
17,Mizerové navždy,Bad Boys for Life,Falcon,"DVD, 2D, IM2, 4D2",2020-01-16 00:00:00,USA,3933,106832,18677060.78,3933,106832,18677060.78,2020,,,,,,,,,,,,,,,
18,Králíček Jojo,JoJo Rabbit,Cinemart/Falcon,2D,2020-01-23 00:00:00,NZL,3342,104734,16282712.28,3376,107322,16661454.28,2020,,,,,,,,,,,,,,,
19,Tlapková patrola: Vždy ve střehu,"Paw Patrol: Ready, Race, Rescue!",Bontonfilm,2D,2020-01-30 00:00:00,USA,3034,103606,14296858.5,3034,103606,14296858.5,2020,,,,,,,,,,,,,,,
20,Téměř dokonalá tajemství,Das perfekte Geheimnis,Bontonfilm,"DVD, 2D",2020-06-18 00:00:00,DEU,5791,95190,15348998.03,5791,95190,15348998.03,2020,,,,,,,,,,,,,,,
21,Frčíme,Onward,Falcon,"2D, 3D, IM2, 4D2, 4D3",2020-03-05 00:00:00,USA,7532,95171,14008574.68,7532,95171,14008574.68,2020,,,,,,,,,,,,,,,
22,Gentlemani,The Gentlemen,Vertical,2D,2020-01-30 00:00:00,USA,4106,88037,15288581.82,4106,88037,15288581.82,2020,,,,,,,,,,,,,,,
23,V síti 18+,V síti 18+,Aerofilms,"2D, MP4",2020-07-09 00:00:00,CZE,3844,87783,14255611.81,3844,87783,14255611.81,2020,,,,,,,,,,,,,,,
24,Birds of Prey (Podivuhodná proměna Harley Quinn),Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn),Vertical,"2D, IM2, 4D2",2020-02-06 00:00:00,USA,4487,86881,14827930.14,4487,86881,14827930.14,2020,,,,,,,,,,,,,,,
25,Trollové: Světové turné,Trolls World Tour,CinemArt,"2D, 3D",2020-08-06 00:00:00,USA,4123,81718,11399246,4123,81718,11399246,2020,,,,,,,,,,,,,,,
26,Případ mrtvého nebožtíka,Případ mrtvého nebožtíka,Falcon,"DVD, 2D, BR, MP4",2020-01-16 00:00:00,CZE,2989,80344,11829279.59,3039,82413,12163772.59,2020,,,,,,,,,,,,,,,
27,Zakleté pírko,Zakleté pírko,CinemArt,"DVD, 2D, MP4",2020-01-02 00:00:00,CZE,2891,78549,9351316,3103,93819,11273651,2020,,,,,,,,,,,,,,,
28,Star Wars: Vzestup Skywalkera,Star Wars: The Rise of Skywalker,Falcon,"2D, 3D, IM3, 4D3",2019-12-19 00:00:00,USA,3551,76322,13314309.91,8830,409189,70148982.41,2020,,,,,,,,,,,,,,,
29,1917,1917,Vertical,2D,2020-02-27 00:00:00,USA,2978,61112,9689416.72,2978,61112,9689416.72,2020,,,,,,,,,,,,,,,
30,Na nože,Knives Out,Vertical,2D,2020-01-09 00:00:00,USA,2533,59370,9650616.98,2533,59370,9650616.98,2020,,,,,,,,,,,,,,,
31,Princezna zakletá v čase,Princezna zakletá v čase,Bohemia MP,"2D, MP4",2020-09-17 00:00:00,CZE,3190,58096,8235504,3190,58096,8235504,2020,,,,,,,,,,,,,,,
32,V síti: Za školou,V síti: Za školou,Aerofilms,"2D, MP4",2020-02-27 00:00:00,CZE,2952,58056,6090444,2952,58056,6090444,2020,,,,,,,,,,,,,,,
33,Špióni v převleku,Spies in Disguise,Cinemart/Falcon,"2D, 3D",2019-12-26 00:00:00,USA,2553,57724,8530890,3666,84238,12401230.2,2020,,,,,,,,,,,,,,,
34,Můj příběh,Můj příběh,Falcon,"2D, MP4",2020-01-09 00:00:00,CZE,2043,57249,8131241,2043,57249,8131241,2020,,,,,,,,,,,,,,,
35,Bourák,Bourák,Falcon,"2D, MP4",2020-06-11 00:00:00,CZE,5072,57150,7889804.6,5072,57150,7889804.6,2020,,,,,,,,,,,,,,,
36,Malé ženy,Little Women,Falcon,2D,2020-01-30 00:00:00,USA,2048,52307,7695657.79,2075,53402,7879992.79,2020,,,,,,,,,,,,,,,
37,Poslední aristokratka,Poslední aristokratka,Falcon,"DVD, 2D, MP4",2019-10-24 00:00:00,CZE,747,45676,3126410,8123,514092,70757305,2020,,,,,,,,,,,,,,,
38,Štěstí je krásná věc,Štěstí je krásná věc,Bioscop/AQS,"DVD, 2D, MP4",2020-08-27 00:00:00,CZE,2795,45271,6723886.34,2795,45271,6723886.34,2020,,,,,,,,,,,,,,,
39,Modelář,Modelář,Falcon,"2D, MP4",2020-02-06 00:00:00,CZE,2302,44656,6527264.51,2302,44656,6527264.51,2020,,,,,,,,,,,,,,,
40,Démon zatracení ,The Wretched,Bontonfilm,"2D, MP4",2020-07-30 00:00:00,USA,2938,43829,7121996.69,2938,43829,7121996.69,2020,,,,,,,,,,,,,,,
41,Super Mazlíčci,Pets United,Bioscop/AQS,"DVD, 2D",2020-02-06 00:00:00,DEU,2058,40082,5675270.6,2058,40082,5675270.6,2020,,,,,,,,,,,,,,,
42,Děda postrach rodiny,War with Grandpa,Bontonfilm,2D,2020-09-10 00:00:00,USA,3130,39047,6304321.25,3130,39047,6304321.25,2020,,,,,,,,,,,,,,,
43,Mulan,Mulan,Falcon,"2D, 3D, 4D3, 2DL",2020-09-04 00:00:00,USA,4150,37328,6014035.22,4150,37328,6014035.22,2020,,,,,,,,,,,,,,,
44,Neviditelný,The Invisible Man,CinemArt,"DVD, 2D, BR",2020-03-05 00:00:00,USA,2641,36383,5734324.3,2641,36383,5734324.3,2020,,,,,,,,,,,,,,,
45,Přes prsty,Přes prsty,CinemArt,"DVD, 2D, MP4",2019-08-29 00:00:00,CZE,552,34492,2599314,9708,414914,59656252,2020,,,,,,,,,,,,,,,
46,Ženská pomsta,Ženská pomsta,Bohemia MP,"2D, MP4",2020-09-10 00:00:00,CZE,2540,31240,4651888,2540,31240,4651888,2020,,,,,,,,,,,,,,,
47,Křupaví mazlíčci,Animal Crackers,Bontonfilm,"2D, MP4",2020-08-27 00:00:00,USA,2131,30830,4508152.4,2131,30830,4508152.4,2020,,,,,,,,,,,,,,,
48,MEKY,MEKY,Bontonfilm,"2D, MP4",2020-07-08 00:00:00,CZE,2104,28880,3551529.82,2104,28880,3551529.82,2020,,,,,,,,,,,,,,,
49,Ženská na vrcholu,Ženská na vrcholu,Bioscop/AQS,"DVD, 2D",2019-11-07 00:00:00,CZE,487,27724,1420558,4585,193282,25508867,2020,,,,,,,,,,,,,,,
50,Nenávist,The Grudge,Falcon,2D,2020-01-02 00:00:00,USA,1499,26932,4375441.2,1523,27493,4463403.2,2020,,,,,,,,,,,,,,,
1,Ženy v běhu,Ženy v běhu,CinemArt,,2019-01-31 00:00:00,CZE,,1543842,211925133,,1543842,211925133,2019,19003,19003,,,,,,,,,,,,,
2,Avengers: Endgame,Avengers: Endgame,Falcon,,2019-04-25 00:00:00,USA,,935915,157282754,,935915,157282754,2019,13896,13896,,,,,,,,,,,,,
3,Bohemian Rhapsody,Bohemian Rhapsody,CinemArt,,2018-11-01 00:00:00,GBR,,758076,100588125,,1831714,266197870,2019,9900,21450,,,,,,,,,,,,,
4,Ledové království II,Frozen II,Falcon,,2019-11-21 00:00:00,USA,,749784,108092508,,749784,108092508,2019,10891,10891,,,,,,,,,,,,,
5,Jak vycvičit draka 3,How to Train Your Dragon: The Hidden World,CinemArt,,2019-02-21 00:00:00,USA,,636162,88713622,,636162,88713622,2019,10824,10824,,,,,,,,,,,,,
6,Joker,Joker,Vertical Entertainment ,,2019-10-03 00:00:00,USA,,514642,85865289,,514642,85865289,2019,9805,9805,,,,,,,,,,,,,
7,Poslední aristokratka,Poslední aristokratka,Falcon,,2019-10-24 00:00:00,CZE,,468416,67630895,,468416,67630895,2019,7376,7376,,,,,,,,,,,,,
8,Tenkrát v Hollywoodu,Once Upon a Time in Hollywood,Falcon,,2019-08-15 00:00:00,USA,,441941,71171582,,441941,71171582,2019,8559,8559,,,,,,,,,,,,,
9,Lví král,"Lion King, The",Falcon,,2019-07-18 00:00:00,USA,,437361,65752917.36,,437361,65752917.36,2019,13188,13188,,,,,,,,,,,,,
10,Spider-Man: Daleko od domova,Spider-Man: Far From Home,Falcon,,2019-07-04 00:00:00,USA,,421922,67262298,,421922,67262298,2019,11197,11197,,,,,,,,,,,,,
11,Captain Marvel,Captain Marvel,Falcon,,2019-03-07 00:00:00,USA,,419661,68792138,,419661,68792138,2019,9827,9827,,,,,,,,,,,,,
12,Přes prsty,Přes prsty,CinemArt,,2019-08-29 00:00:00,CZE,,380422,57056938,,380422,57056938,2019,9156,9156,,,,,,,,,,,,,
13,Tajný život mazlíčků 2,"Secret Life of Pets 2, The",CinemArt,,2019-06-20 00:00:00,USA,,367038,53056102,,367038,53056102,2019,12904,12904,,,,,,,,,,,,,
14,Jumanji: Další level,Jumanji: The Next Level,Falcon,,2019-12-05 00:00:00,USA,,346711,50178058,,346711,50178058,2019,6502,6502,,,,,,,,,,,,,
15,Star Wars: Vzestup Skywalkera,Star Wars: The Rise of Skywalker,Falcon,,2019-12-19 00:00:00,USA,,332867,56834673,,332867,56834673,2019,5279,5279,,,,,,,,,,,,,
16,Zloba: Královna všeho zlého,Maleficent: Mistress of Evil,Falcon,,2019-10-17 00:00:00,USA,,272298,41028218,,272298,41028218,2019,6484,6484,,,,,,,,,,,,,
17,Teroristka,Teroristka,CinemArt,,2019-04-04 00:00:00,CZE,,258660,31521747,,258660,31521747,2019,6212,6212,,,,,,,,,,,,,
18,Toy Story 4: Příběh hraček,Toy Story 4,Falcon,,2019-08-08 00:00:00,USA,,225493,32498353,,225493,32498353,2019,8542,8542,,,,,,,,,,,,,
19,Pokémon: Detektiv Pikachu,Pokémon: Detective Pikachu,Vertical Entertainment ,,2019-05-09 00:00:00,USA,,216675,30149201,,216675,30149201,2019,7448,7448,,,,,,,,,,,,,
20,Vlastníci,Vlastníci,CinemArt,,2019-11-21 00:00:00,CZE,,190563,28505948,,190563,28505948,2019,4512,4512,,,,,,,,,,,,,
21,Raubíř Ralf a internet,Ralph Breaks the Internet: Wreck-It Ralph 2 ,Falcon,,2019-01-10 00:00:00,USA,,178447,24890516,,181106,25277247,2019,5639,5681,,,,,,,,,,,,,
22,Lego®příběh 2,"Lego® Movie 2, The: The Second Part",Vertical Entertainment ,,2019-02-07 00:00:00,USA,,172582,24579941,,172582,24579941,2019,4203,4203,,,,,,,,,,,,,
23,Rychle a zběsile: Hobbs a Shaw,Fast & Furious Presents Hobbs & Shaw,CinemArt,,2019-08-01 00:00:00,USA,,171223,28766677,,171223,28766677,2019,6272,6272,,,,,,,,,,,,,
24,Le Mans ’66,Ford v. Ferrari,CinemArt,,2019-11-14 00:00:00,USA,,166930,27290271,,166930,27290271,2019,3928,3928,,,,,,,,,,,,,
25,Ženská na vrcholu,Ženská na vrcholu,Bioscop/AQS,,2019-11-07 00:00:00,CZE,,165558,24088309,,165558,24088309,2019,4098,4098,,,,,,,,,,,,,
26,Román pro pokročilé,Román pro pokročilé,Bohemia Motion Pictures,,2019-09-19 00:00:00,CZE,,163156,24151867,,163156,24151867,2019,4743,4743,,,,,,,,,,,,,
27,To Kapitola 2,It: Chapter Two,Vertical Entertainment ,,2019-09-05 00:00:00,USA,,155667,25373112,,155667,25373112,2019,4115,4115,,,,,,,,,,,,,
28,LOVEní,LOVEní,Bontonfilm,,2019-03-21 00:00:00,CZE,,151595,20164765,,151595,20164765,2019,4358,4358,,,,,,,,,,,,,
29,John Wick 3,John Wick: Chapter 3 - Parabellum,Vertical Entertainment ,,2019-05-16 00:00:00,USA,,150501,22836389,,150501,22836389,2019,4722,4722,,,,,,,,,,,,,
30,Angry Birds ve filmu 2,Angry Birds 2,Falcon,,2019-08-29 00:00:00,USA,,149796,21977695,,149796,21977695,2019,6950,6950,,,,,,,,,,,,,
31,Aladin,Aladdin,Falcon,,2019-05-23 00:00:00,USA,,146443,21292239,,146443,21292239,2019,6988,6988,,,,,,,,,,,,,
32,Aquaman,Aquaman,Vertical Entertainment ,,2018-12-13 00:00:00,USA,,146064,24439207,,384506,63117460,2019,4773,8880,,,,,,,,,,,,,
33,Sněžný kluk,Abominable,CinemArt,,2019-10-24 00:00:00,USA,,145442,19288852,,145442,19288852,2019,3784,3784,,,,,,,,,,,,,
34,Psí domov,"Dog’s Way Home, A",Falcon,,2019-01-24 00:00:00,USA,,138995,18013920,,138995,18013920,2019,4244,4244,,,,,,,,,,,,,
35,Zelená kniha,Green Book,Aerofilms,,2019-03-07 00:00:00,USA,,124881,16652229,,124881,16652229,2019,3151,3151,,,,,,,,,,,,,
36,Alita: Bojový Anděl,Alita: Battle Angel,CinemArt,,2019-02-14 00:00:00,USA,,124868,20859007,,124868,20859007,2019,4617,4617,,,,,,,,,,,,,
37,Annabelle 3,Annabelle Comes Home,Vertical Entertainment ,,2019-06-27 00:00:00,USA,,123450,19747760,,123450,19747760,2019,4156,4156,,,,,,,,,,,,,
38,Národní třída,Národní třída,Falcon,,2019-09-26 00:00:00,CZE,,118134,18503536,,118134,18503536,2019,4134,4134,,,,,,,,,,,,,
39,Skleněný pokoj,Skleněný pokoj,Bioscop/AQS,,2019-03-14 00:00:00,CZE,,116148,14601283,,116148,14601283,2019,3244,3244,,,,,,,,,,,,,
40,Šťastný nový rok,Šťastný nový rok,Bontonfilm,,2019-12-26 00:00:00,CZE,,114924,17345872,,114924,17345872,2019,1190,1190,,,,,,,,,,,,,
41,Shazam!,Shazam!,Vertical Entertainment ,,2019-04-04 00:00:00,USA,,103108,16309468,,103108,16309468,2019,4316,4316,,,,,,,,,,,,,
42,Nabarvené ptáče,Nabarvené ptáče,Bioscop/AQS,,2019-09-12 00:00:00,CZE,,98226,14267334,,98226,14267334,2019,2551,2551,,,,,,,,,,,,,
43,Léto s gentlemanem,Léto s gentlemanem,Bioscop/AQS,,2019-02-14 00:00:00,CZE,,97455,10177767,,97455,10177767,2019,2431,2431,,,,,,,,,,,,,
44,Čertí brko,Čertí brko,Falcon,,2018-11-29 00:00:00,CZE,,93274,6793861,,381490,40301673,2019,2088,7712,,,,,,,,,,,,,
45,Ovečka Shaun ve filmu: Farmageddon,Shaun the Sheep Movie: Farmageddon,Bohemia Motion Pictures,,2019-10-03 00:00:00,GBR,,92598,12690861,,92598,12690861,2019,3795,3795,,,,,,,,,,,,,
46,Muži v černém: Globální hrozba,Men in Black: International,Falcon,,2019-06-13 00:00:00,USA,,91110,14543068,,91110,14543068,2019,5243,5243,,,,,,,,,,,,,
47,After: Polibek,After,Bontonfilm,,2019-04-11 00:00:00,USA,,90738,13161825,,90738,13161825,2019,2830,2830,,,,,,,,,,,,,
48,Hodinářův učeň,Hodinářův učeň,Bontonfilm,,2019-08-15 00:00:00,CZE,,90277,8999856,,90277,8999856,2019,3195,3195,,,,,,,,,,,,,
49,Addamsova rodina,"Addams Family, The",Forum Film,,2019-10-31 00:00:00,GBR,,89562,12429741,,89562,12429741,2019,3323,3323,,,,,,,,,,,,,
50,Ad Astra,Ad Astra,CinemArt,,2019-09-19 00:00:00,USA,,88328,15122200,,88328,15122200,2019,3456,3456,,,,,,,,,,,,,
1,Bohemian Rhapsody,Bohemian Rhapsody,CinemArt,,2018-11-01 00:00:00,GBR,,1073638,165609745,,1073638,165609745,2018,11550,11550,,,,,,,,,,,,,
2,Avengers: Infinity War,Avengers: Infinity War,Falcon,,2018-04-26 00:00:00,USA,,631252,100013233,,631252,100013233,2018,13622,13622,,,,,,,,,,,,,
3,Po čem muži touží,Po čem muži touží,CinemArt,,2018-09-20 00:00:00,CZE,,558988,82620472,,558988,82620472,2018,10730,10730,,,,,,,,,,,,,
4,Hotel Transylvánie 3: Příšerózní dovolená,Hotel Transylvania 3: Summer vacation,Falcon,,2018-07-12 00:00:00,USA,,491501,69242414,,491501,69242414,2018,14805,14805,,,,,,,,,,,,,
5,Fantastická zvířata: Grindelwaldovy zločiny,Fantastic Beasts: The Crimes of Grindelwald,Vertical Entertainment ,,2018-11-15 00:00:00,GBR,,473131,74873984,,473131,74873984,2018,9578,9578,,,,,,,,,,,,,
6,Jurský svět: Zánik říše,Jurassic World: Fallen Kingdom,CinemArt,,2018-06-21 00:00:00,USA,,407221,65145273,,407221,65145273,2018,10769,10769,,,,,,,,,,,,,
7,Venom,Venom,Falcon,,2018-10-04 00:00:00,USA,,388925,63065317,,388925,63065317,2018,8773,8773,,,,,,,,,,,,,
8,Padesát odstínů svobody,Fifty Shades Freed,CinemArt,,2018-02-08 00:00:00,USA,,360449,55014275,,360449,55014275,2018,7022,7022,,,,,,,,,,,,,
9,Úžasňákovi 2,"Incredibles 2, The",Falcon,,2018-08-02 00:00:00,USA,,351163,50038076,,351163,50038076,2018,11560,11560,,,,,,,,,,,,,
10,Tátova volha,Tátova volha,CinemArt,,2018-03-08 00:00:00,CZE,,348082,43376471,,348082,43376471,2018,7773,7773,,,,,,,,,,,,,
11,Deadpool 2,Deadpool 2,CinemArt,,2018-05-17 00:00:00,USA,,341539,53390326,,341539,53390326,2018,9761,9761,,,,,,,,,,,,,
12,Čertoviny,Čertoviny,CinemArt,,2018-01-04 00:00:00,CZE,,325121,35912206,,340491,37842432,2018,7276,7400,,,,,,,,,,,,,
13,Grinch,"Grinch, The",CinemArt,,2018-11-08 00:00:00,USA,,304989,40923087,,304989,40923087,2018,7085,7085,,,,,,,,,,,,,
14,Coco,Coco,Falcon,,2018-01-18 00:00:00,USA,,298653,37771292,,299752,37923847,2018,9209,9252,,,,,,,,,,,,,
15,Jumanji: Vítejte v džungli!,Jumanji: Welcome to the Jungle,Falcon,,2017-12-21 00:00:00,USA,,298412,43289855,,445104,65530699,2018,8699,11017,,,,,,,,,,,,,
16,Mamma Mia! Here We Go Again,Mamma Mia! Here We Go Again,CinemArt,,2018-07-19 00:00:00,USA,,296285,43518265,,296285,43518265,2018,8700,8700,,,,,,,,,,,,,
17,Čertí brko,Čertí brko,Falcon,,2018-11-29 00:00:00,CZE,,288216,33507812,,288216,33507812,2018,5624,5624,,,,,,,,,,,,,
18,Black Panther,Black Panther,Falcon,,2018-02-15 00:00:00,USA,,278135,44229158,,278135,44229158,2018,8189,8189,,,,,,,,,,,,,
19,Aquaman,Aquaman,Vertical Entertainment ,,2018-12-13 00:00:00,USA,,238442,38678253,,238442,38678253,2018,4107,4107,,,,,,,,,,,,,
20,Králíček Petr,Peter Rabbit,Falcon,,2018-03-22 00:00:00,USA,,224761,27638053,,224761,27638053,2018,8592,8592,,,,,,,,,,,,,
21,Sestra,"Nun, The",Vertical Entertainment ,,2018-09-06 00:00:00,USA,,197954,30845232,,197954,30845232,2018,5801,5801,,,,,,,,,,,,,
22,Zoufalé ženy dělají zoufalé věci,Zoufalé ženy dělají zoufalé věci,Bioscop/AQS,,2018-01-18 00:00:00,CZE,,189955,25838241,,189955,25838241,2018,5748,5748,,,,,,,,,,,,,
23,Ant-Man a Wasp,Ant-Man and the Wasp,Falcon,,2018-07-05 00:00:00,USA,,182863,28269678,,182863,28269678,2018,7554,7554,,,,,,,,,,,,,
24,Ready Player One: Hra začíná,Ready Player One,Vertical Entertainment ,,2018-03-29 00:00:00,USA,,181221,28518838,,181221,28518838,2018,6950,6950,,,,,,,,,,,,,
25,Zrodila se hvězda,"Star Is Born, A",Vertical Entertainment ,,2018-10-04 00:00:00,USA,,177712,26767217,,177712,26767217,2018,3963,3963,,,,,,,,,,,,,
26,Johnny English znovu zasahuje,Johnny English Strikes Again,CinemArt,,2018-10-25 00:00:00,GBR,,175236,25281104,,175236,25281104,2018,5136,5136,,,,,,,,,,,,,
27,Prezident Blaník,Prezident Blaník,Falcon,,2018-02-01 00:00:00,CZE,,174333,23774663,,174333,23774663,2018,3620,3620,,,,,,,,,,,,,
28,Úsměvy smutných mužů,Úsměvy smutných mužů,Bontonfilm,,2018-07-12 00:00:00,CZE,,168119,22361031,,168119,22361031,2018,4511,4511,,,,,,,,,,,,,
29,Špindl,Špindl,Bontonfilm,,2017-12-21 00:00:00,CZE,,162160,21969289,,317701,43657048,2018,4830,6831,,,,,,,,,,,,,
30,Yeti: Ledové dobrodružství,Smallfoot,Vertical Entertainment ,,2018-09-27 00:00:00,USA,,159719,21087167,,159719,21087167,2018,5758,5758,,,,,,,,,,,,,
31,Mission: Impossible - Fallout,Mission: Impossible - Fallout,CinemArt,,2018-08-02 00:00:00,USA,,144972,24546780,,144972,24546780,2018,5937,5937,,,,,,,,,,,,,
32,Fakjů pane učiteli 3,Fack ju Göhte 3,CinemArt,,2018-04-12 00:00:00,DEU,,142948,19670291,,142948,19670291,2018,4847,4847,,,,,,,,,,,,,
33,Solo: Star Wars Story,Solo: A Star Wars Story,Falcon,,2018-05-24 00:00:00,USA,,131640,20914582,,131640,20914582,2018,8322,8322,,,,,,,,,,,,,
34,Ferdinand,Ferdinand ,CinemArt,,2017-12-21 00:00:00,USA,,119656,13962001,,190337,23735681,2018,4064,6381,,,,,,,,,,,,,
35,Dvě nevěsty a jedna svatba,Dvě nevěsty a jedna svatba,Bioscop/AQS,,2018-04-26 00:00:00,CZE,,119226,12431631,,119226,12431631,2018,4293,4293,,,,,,,,,,,,,
36,Věčně tvá nevěrná,Věčně tvá nevěrná,Bioscop/AQS,,2018-02-22 00:00:00,CZE,,113264,14820331,,113264,14820331,2018,3329,3329,,,,,,,,,,,,,
37,Když draka bolí hlava,Když draka bolí hlava,Bohemia Motion Pictures,,2018-10-25 00:00:00,CZE,,112189,12543742,,112189,12543742,2018,2447,2447,,,,,,,,,,,,,
