rok,mesic,predstaveni,divactvo,ciste_trzby,prumerne_vstupne
2000,1,16184,688131,45494892,66.11370800036622
2000,2,15774,888290,60084053,67.64013216404553
2000,3,17508,946705,61743112,65.2189562746579
2000,4,16755,742518,46847625,63.09291491923428
2000,5,16154,646617,43016124,66.52488876723007
2000,6,15840,622708,37578974,60.34766535840233
2000,7,13424,671556,46361123,69.03537903019257
2000,8,15077,713656,49425763,69.2571252816483
2000,9,16636,669687,47583625,71.05352948466971
2000,10,17977,763418,56208123,73.62692915283633
2000,11,17868,735008,54564532,74.2366504854369
2000,12,18410,630482,44111812,69.965220260055
2001,1,20013,747191,59229276,79.26925779352267
2001,2,19932,942248,71466838,75.84716337949244
2001,3,22268,1030884,74920018,72.6755076225841
2001,4,20195,801914,60157466,75.0173534817948
2001,5,19092,810239,65706347,81.09501887714613
2001,6,21616,1019458,76465148,75.00568733581962
2001,7,19567,747208,59286577,79.34414112268605
2001,8,20484,847877,68975216,81.35049777267221
2001,9,21120,898216,78250456,87.11763762836556
2001,10,22300,866840,70702765,81.56380070139818
2001,11,23509,916719,76348327,83.2843292219317
2001,12,22596,734542,56173091,76.47362710369183
2002,1,23449,1065162,97107493,91.16687696331638
2002,2,21048,1095975,98471129,89.84797007231005
2002,3,26312,1104472,97897281,88.63717776457891
2002,4,23540,848308,70795465,83.45490670841251
2002,5,22055,697596,60800584,87.15730021387738
2002,6,22043,790296,64563340,81.69513701195501
2002,7,23332,799301,74809588,93.59376255002809
2002,8,26085,807312,75323084,93.30108310046178
2002,9,27281,785435,71230212,90.68886922533373
2002,10,31287,998668,89692898,89.81252828767919
2002,11,30225,823010,72171629,87.6922868494915
2002,12,29425,877461,73142380,83.35684434977738
2003,1,28771,1265957,119697826,94.55125727019164
2003,2,27023,971108,86990491,89.57859578955173
2003,3,31808,1071871,93870113,87.57594244083477
2003,4,29580,1131478,100904294,89.17919217165513
2003,5,28499,993598,87076034,87.63708662859628
2003,6,27980,848894,69227525,81.55025833614091
2003,7,25903,801886,71668026,89.37433251110507
2003,8,27297,955254,87203828,91.28862899291707
2003,9,27371,909133,83910005,92.29673216130094
2003,10,30316,1138001,105685001,92.86898781284023
2003,11,29272,1161910,107161040,92.22834815088949
2003,12,27512,890548,70615772,79.29473986803632
2004,1,26820,1192263,115181932,96.60782226740241
2004,2,26427,1170406,108158379,92.4109915704465
2004,3,28226,954873,84297532,88.28140705622633
2004,4,27350,779265,69431078,89.09816044606136
2004,5,26597,847516,81901883,96.6375655444853
2004,6,25609,1062464,93929081,88.40683637280887
2004,7,26803,1065721,97680969,91.65716824572284
2004,8,28409,1049388,93065117,88.6851355266117
2004,9,27481,915142,83718110,91.48100513362954
2004,10,29640,1066119,99647089,93.46713546986781
2004,11,27274,1052041,101630005,96.60270369690915
2004,12,26010,890941,77228465,86.68190710720462
2005,1,27365,848471,82615132,97.36942335094541
2005,2,24460,751208,71115485,94.66816780438973
2005,3,28173,738716,69686735,94.33494739521007
2005,4,26859,793049,71817651,90.55890745716847
2005,5,26664,724517,65796658,90.81451228887659
2005,6,26207,772200,62166103,80.50518389018389
2005,7,26356,793421,74204883,93.52523187563727
2005,8,26853,859194,74164589,86.3187929617758
2005,9,26175,668570,57536630,86.05924585308944
2005,10,27683,747144,67333406,90.1210556465688
2005,11,27302,760394,65688821,86.38787391799515
2005,12,24115,1021748,92359531,90.39364990193276
2006,1,25439,945900,88623818,93.69258695422349
2006,2,25998,813709,74703605,91.80629070097541
2006,3,29642,1138819,109350100,96.02061433818719
2006,4,30417,1178056,107935072,91.62134227914463
2006,5,29709,1008852,94684304,93.85351270553065
2006,6,29592,838818,66246009,78.97542613534759
2006,7,29329,730325,65159579,89.21997603806524
2006,8,28465,1222677,118330072,96.77950268141136
2006,9,28284,773685,71586817,92.5270840199823
2006,10,30073,830454,75920287,91.42021954256346
2006,11,28830,898986,87324198,97.13632692833926
2006,12,29461,1128684,83458743,73.94340931562776
2007,1,28958,1012420,101409713,100.16565555797001
2007,2,27940,957565,93026413,97.1489277490301
2007,3,30894,1460448,145301193,99.49083637349635
2007,4,31566,1018249,93359255,91.68607580267695
2007,5,30493,976712,92285524,94.48591191671649
2007,6,29335,1248730,111606207,89.37577138372586
2007,7,29212,1253967,122609550,97.77733385328322
2007,8,29984,1135265,107933162,95.07309923233782
2007,9,29205,1022185,98617618,96.47726977014923
2007,10,28832,953211,88717183,93.07192531349303
2007,11,28176,716647,65487240,91.38005182467798
2007,12,29206,1074114,79651167,74.15522654019965
2008,1,29358,874294,85784908,98.11906292391346
2008,2,30055,1006041,103823689,103.20025625198178
2008,3,31608,989443,98964751,100.02066920479503
2008,4,31511,835847,79747968,95.4097675770805
2008,5,33463,745429,73010724,97.94457151519461
2008,6,31221,815059,70940011,87.0366574689685
2008,7,32388,1227972,114662206,93.37526099943646
2008,8,33265,1418588,136382920,96.13990813400368
2008,9,31396,968839,90713611,93.6312545221652
