poř,min_poř,film,distributor,prod,formát,poč_týd,poč_kin,víkend_tržby,víkend_diváci,změna_v_%,poč_kin,min_týden_tržby,min_týden_diváci,celkem_tržby,celkem_diváci,rok,tyden
9,11,Sladký život,"Cinemart, a.s.",CZE,"2D, MP4",15,37,282608,1567,0.2038,52,318280,2277,31483376,174697,2024,25
10,7,Strážci,Vertical Entertainment s.r.o.,USA,2D,3,49,265622,1229,-0.4382,96,631883,3057,1568450,7546,2024,25
11,10,Kung Fu Panda 4,"Cinemart, a.s.",USA,2D,16,32,241903.5,1526,-0.0632,32,332586,2069,43649164.5,236775,2024,25
12,16,Gump - jsme dvojka,"AQS, a.s. (divize BIOSCOP)",CZE,"2D, MP4",13,38,203014,1519,0.3846,43,287530,2432,24442896,150070,2024,25
13,9,Tarot,FALCON a.s.,USA,2D,8,24,188925,888,-0.2739,28,346190,1594,6126794,29071,2024,25
14,13,Prázdniny s Broučkem,BONTONFILM a.s.,CZE,"2D, MP4",10,35,158947,1268,-0.0038,48,217994,1775,10823629,64572,2024,25
15,12,Máme prachy!,FILM EUROPE s.r.o.,FRA,"2D, MP4",2,33,118643,553,-0.4854,75,325174,1564,451007,2329,2024,25
16,15,Back to Black,"Cinemart, a.s.",USA,2D,6,23,104294,505,-0.2991,54,208141,1109,3535077,18229,2024,25
17,22,Krotitelé duchů: Říše ledu,FALCON a.s.,USA,2D,11,13,98266,617,-0.0875,22,116232,809,9852660,54180,2024,25
18,19,Havěť,"CONTINENTAL FILM, s.r.o.",FRA,2D,5,16,93508,426,-0.2375,26,163962,763,1666512,8058,2024,25
19,20,Priscilla,AEROFILMS s.r.o.,USA,"2D, MP4",4,29,85301,490,-0.2917,54,188818,1130,1649220,9596,2024,25
20,17,Jak zachránit draka,Forum Film Czech s.r.o.,CHN,2D,10,22,82982,469,-0.3648,34,153533,994,9465215,58939,2024,25
1,1,Mizerové: Na život a na smrt,FALCON a.s.,USA,"2D, IM2, 4D2, 2DA",2,119,2968524.5,13129,-0.03,183,4281225,19441,7544054.5,33939,2024,24
2,2,Garfield ve filmu ,FALCON a.s.,USA,"2D, 4D2",5,119,2261221,12110,0.2223,111,2359797,12839,28772289,156591,2024,24
3,4,Imaginární přátelé,"Cinemart, a.s.",USA,"DVD, 2D",3,114,1218663,6525,0.3338,126,1166233,6239,7618132,42894,2024,24
4,3,Furiosa: Sága Šíleného Maxe,Vertical Entertainment s.r.o.,USA,"2D, 2DA",4,95,1043925,4748,-0.0086,87,1515881,6864,12711700,57107,2024,24
5,5,Kaskadér,"Cinemart, a.s.",USA,"2D, 2DA",7,64,712034,3380,0.1827,58,914416.5,4675,18834429.5,89670,2024,24
6,7,Království Planeta opic,FALCON a.s.,USA,"2D, 2DA",6,51,522615,2434,0.1443,48,631700,2961,11270885,52030,2024,24
7,6,Strážci,Vertical Entertainment s.r.o.,USA,2D,2,84,472800,2311,0.0321,112,670945,3260,1143745,5571,2024,24
8,8,Tarot,FALCON a.s.,USA,2D,7,26,260156,1203,0.1805,23,318852,1473,5851835,27792,2024,24
9,10,Kung Fu Panda 4,"Cinemart, a.s.",USA,2D,15,28,258202,1372,0.5298,29,214922,1617,43332877,234552,2024,24
10,15,Sladký život,"Cinemart, a.s.",CZE,"2D, MP4",14,37,234753,1492,0.7967,45,199665,1781,31117241,172345,2024,24
11,79,Máme prachy!,FILM EUROPE s.r.o.,FRA,"2D, MP4",1,59,230523,1107,31.0616,2,7190,212,237713,1319,2024,24
12,17,Prázdniny s Broučkem,BONTONFILM a.s.,CZE,"2D, MP4",9,35,159538,1164,0.3146,43,186414,1355,10606226,62693,2024,24
13,9,Láska na zakázku,BONTONFILM a.s.,CZE,"2D, MP4",2,81,151735,876,-0.3094,135,319224,1868,473546,2759,2024,24
14,16,Back to Black,"Cinemart, a.s.",USA,2D,5,41,148785,770,0.1556,47,216381,1121,3371427,17385,2024,24
15,13,Gump - jsme dvojka,"AQS, a.s. (divize BIOSCOP)",CZE,"2D, MP4",12,25,146614,932,-0.0499,38,212521,1776,24098966,147051,2024,24
16,24,Jak zachránit draka,Forum Film Czech s.r.o.,CHN,"2D, MP4",9,29,130625,735,0.4399,27,97642,607,9359325,58211,2024,24
17,11,Princezna na hrášku,BONTONFILM a.s.,CZE,2D,3,74,129726,820,-0.2156,112,206930,1204,1754237,10961,2024,24
18,18,Havěť,"CONTINENTAL FILM, s.r.o.",FRA,2D,4,22,122625,572,0.088,29,154294,727,1531667,7441,2024,24
19,12,Priscilla,AEROFILMS s.r.o.,USA,"2D, MP4",3,46,120417,732,-0.2297,59,252523,1319,1495518,8708,2024,24
20,14,Sylvanian Families ve filmu: Dárek od Freyi,Bohemia Motion Pictures a.s.,JPN,"2D, MP4",2,77,109696,709,-0.2415,116,186339,1222,299076,2205,2024,24
1,174,Mizerové: Na život a na smrt,FALCON a.s.,USA,"2D, IM2, 4D2, 2DA",1,174,3060315,14028,,29,294305,1369,3354620,15397,2024,23
2,1,Garfield ve filmu ,FALCON a.s.,USA,"2D, 4D2",4,107,1849890,10079,-0.758,117,8222229,44430,25886337,141661,2024,23
3,3,Furiosa: Sága Šíleného Maxe,Vertical Entertainment s.r.o.,USA,"2D, 2DA",3,76,1052904,4754,-0.7164,150,4571962,20241,11051316,50182,2024,23
4,2,Imaginární přátelé,"Cinemart, a.s.",USA,2D,2,121,913674,4889,-0.812,177,5181725.5,29625,6095399.5,34657,2024,23
5,4,Kaskadér,"Cinemart, a.s.",USA,"2D, 2DA",6,48,602026.5,2877,-0.6588,77,2130345,10116,17616654.68,84144,2024,23
6,,Strážci,Vertical Entertainment s.r.o.,USA,2D,1,97,458089,2238,,,,,458089,2238,2024,23
7,5,Království Planeta opic,FALCON a.s.,USA,"2D, 2DA",5,41,456684,2157,-0.6479,71,1571732,7354,10500533.5,48766,2024,23
8,10,Tarot,FALCON a.s.,USA,2D,6,21,220370,1010,-0.6118,34,703529,3249,5493050,26125,2024,23
9,,Láska na zakázku,BONTONFILM a.s.,CZE,"2D, MP4",1,122,219710,1304,,1,2587,15,222297,1319,2024,23
10,7,Kung Fu Panda 4,"Cinemart, a.s.",USA,2D,14,26,168771,1203,-0.7508,40,735649,4487,43013524,232746,2024,23
11,6,Princezna na hrášku,BONTONFILM a.s.,CZE,"2D, MP4",2,106,165362,995,-0.8649,188,1311075,8125,1569371,9838,2024,23
12,8,Priscilla,AEROFILMS s.r.o.,USA,"2D, MP4",2,46,156319,828,-0.7451,116,788683,4136,1269310,7428,2024,23
13,9,Gump - jsme dvojka,"AQS, a.s. (divize BIOSCOP)",CZE,"2D, MP4",11,28,154309,1121,-0.7364,55,696828,5808,23863869,145079,2024,23
14,111,Sylvanian Families ve filmu: Dárek od Freyi,Bohemia Motion Pictures a.s.,JPN,"2D, MP4",1,114,144612,987,46.5697,3,3041,274,147653,1261,2024,23
15,18,Sladký život,"Cinemart, a.s.",CZE,"2D, MP4",13,36,130652,1107,-0.5167,45,371637,2487,30817414.5,170140,2024,23
16,13,Back to Black,"Cinemart, a.s.",USA,2D,4,35,128751,660,-0.6812,67,524145,2538,3119805.5,15910,2024,23
17,15,Prázdniny s Broučkem,BONTONFILM a.s.,CZE,"2D, MP4",8,25,121353,738,-0.6523,57,402317,2833,10354476.4,60686,2024,23
18,11,Havěť,"CONTINENTAL FILM, s.r.o.",FRA,2D,3,23,112701,526,-0.7422,51,528183,2542,1361817,6627,2024,23
19,22,Dokonalé dny,AEROFILMS s.r.o.,JPN,"2D, MP4",11,15,99119,628,-0.3478,20,209606,1394,5086150,32163,2024,23
20,16,Cizinci: Kapitola 1,"DonArt production, s.r.o.",USA,2D,4,16,95532,436,-0.714,30,413300,1860,1947429,9389,2024,23
1,1,Garfield ve filmu ,FALCON a.s.,USA,"2D, 4D2",3,111,7642242,41285,0.7135,191,5254442,28340,23456460,128437,2024,22
2,,Imaginární přátelé,"Cinemart, a.s.",USA,2D,1,176,4859739.5,27879,,2,0,143,4859739.5,28022,2024,22
3,2,Furiosa: Sága Šíleného Maxe,Vertical Entertainment s.r.o.,USA,"2D, IM2, 4D2, 2DA",2,144,3712391,16419,0.0228,215,5039587,23445,9138841,41606,2024,22
4,3,Kaskadér,"Cinemart, a.s.",USA,2D,5,62,1764426,8348,0.587,84,1580451,7441,16648709.18,79499,2024,22
5,4,Království Planeta opic,FALCON a.s.,USA,"2D, 2DA",4,55,1296965,5975,0.322,72,1371113,6319,9769082.5,45230,2024,22
6,20,Princezna na hrášku,BONTONFILM a.s.,CZE,"2D, MP4",1,181,1223874,7621,12.1692,31,92934,681,1316808,8339,2024,22
7,8,Kung Fu Panda 4,"Cinemart, a.s.",USA,2D,13,34,676982,3943,0.8478,45,434295,2436,42786086,230999,2024,22
8,57,Priscilla,AEROFILMS s.r.o.,USA,"2D, MP4",1,103,613130,3219,67.8136,4,24155,233,937438,5683,2024,22
9,10,Gump - jsme dvojka,"AQS, a.s. (divize BIOSCOP)",CZE,"2D, MP4",10,38,585360,4420,1.0419,59,354689,2599,23598092,142570,2024,22
10,6,Tarot,FALCON a.s.,USA,2D,5,30,567652,2624,0.1503,42,648290,3055,5136803,24490,2024,22
11,5,Havěť,"CONTINENTAL FILM, s.r.o.",FRA,2D,2,47,436999,2100,-0.1573,81,717613,3538,1157932,5659,2024,22
12,12,Jak zachránit draka,Forum Film Czech s.r.o.,CHN,2D,7,34,427488,2619,0.9411,48,261641,1533,9090913,56296,2024,22
13,7,Back to Black,"Cinemart, a.s.",USA,2D,3,55,403850,1943,-0.1531,104,727819,3677,2870759.5,14655,2024,22
14,,Haikyuu!! The Dumpster Battle,FALCON a.s.,JPN,2D,1,57,366828,1860,,,,,366828,1860,2024,22
15,13,Prázdniny s Broučkem,BONTONFILM a.s.,CZE,"2D, MP4",7,48,349013,2351,0.614,60,281850,1759,10179819.4,59466,2024,22
16,9,Cizinci: Kapitola 1,"DonArt production, s.r.o.",USA,2D,3,27,334024,1503,0.0098,44,445788,2127,1772621,8596,2024,22
17,11,Rivalové,Vertical Entertainment s.r.o.,USA,2D,6,18,282743,1412,0.1697,37,411650,2043,6101286,35116,2024,22
18,15,Sladký život,"Cinemart, a.s.",CZE,"2D, MP4",12,26,270315,1477,0.475,42,269132,2142,30585440.5,168023,2024,22
19,18,Krotitelé duchů: Říše ledu,FALCON a.s.,USA,2D,8,17,265031,1977,1.6064,23,128850,713,9518762,51886,2024,22
20,19,Domácí příšerky,"CONTINENTAL FILM, s.r.o.",RUS,"2D, MP4",10,19,209101,1358,1.0996,23,111674.5,652,6500638,37525,2024,22
1,1,Garfield ve filmu ,FALCON a.s.,USA,2D,2,185,4970661.5,24101,-0.4264,219,9565639,53228,15530437.5,82913,2024,21
2,,Furiosa: Sága Šíleného Maxe,Vertical Entertainment s.r.o.,USA,"2D, IM2, 4D2, 2DA",1,209,3640834,16978,,34,386863,1742,4027697,18720,2024,21
3,3,Kaskadér,"Cinemart, a.s.",USA,"2D, 2DA",4,75,1111768,5143,-0.4851,112,2769493.68,13087,14415600.18,68853,2024,21
4,2,Království Planeta opic,FALCON a.s.,USA,"2D, 2DA",3,59,981058,4457,-0.611,119,3064052.5,13793,8082062.5,37393,2024,21
5,,Havěť,"CONTINENTAL FILM, s.r.o.",FRA,"2D, MP4",1,70,518550,2541,,,,,521870,2562,2024,21
6,5,Tarot,FALCON a.s.,USA,2D,4,40,493473,2323,-0.3727,47,1029425,4792,4414334,21134,2024,21
7,4,Back to Black,"Cinemart, a.s.",USA,2D,2,84,476676,2399,-0.6528,188,1739090.5,9035,2215766.5,11434,2024,21
8,7,Kung Fu Panda 4,"Cinemart, a.s.",USA,2D,12,41,366359,1985,-0.4229,38,734769,3811,42041168,226605,2024,21
9,6,Cizinci: Kapitola 1,"DonArt production, s.r.o.",USA,2D,2,39,342143,1603,-0.551,71,992809,4713,1334952,6569,2024,21
10,10,Gump - jsme dvojka,"AQS, a.s. (divize BIOSCOP)",CZE,"2D, MP4",9,47,297073,2014,-0.2885,59,499801,3113,22955116,137565,2024,21
11,8,Rivalové,Vertical Entertainment s.r.o.,USA,2D,5,25,241703,1155,-0.5257,54,700878,3381,5648596,32816,2024,21
12,12,Prázdniny s Broučkem,BONTONFILM a.s.,CZE,"2D, MP4",6,47,220411,1330,-0.4029,81,477052.4,2901,9769367.4,56686,2024,21
13,11,Jak zachránit draka,Forum Film Czech s.r.o.,CHN,2D,6,45,220222,1197,-0.4328,56,442976,2474,8622006,53341,2024,21
14,15,Sladký život,"Cinemart, a.s.",CZE,2D,11,31,183255,1343,-0.243,44,342299,2202,30229248.5,165747,2024,21
15,9,Zakázaná touha,"CONTINENTAL FILM, s.r.o.",POL,2D,2,31,146902,632,-0.6545,78,601641,2996,802438,3905,2024,21
16,14,Krotitelé duchů: Říše ledu,FALCON a.s.,USA,2D,7,19,101681,478,-0.6151,29,292214,1482,9226562,49674,2024,21
17,16,Domácí příšerky,"CONTINENTAL FILM, s.r.o.",RUS,2D,9,22,99589.5,566,-0.5694,30,259803.5,1623,6279452,36081,2024,21
18,13,Duna: Část druhá,Vertical Entertainment s.r.o.,USA,2D,13,12,83507,486,-0.6858,19,345510.2,1573,107405585.2,477891,2024,21
19,,Princezna na hrášku,BONTONFILM a.s.,CZE,2D,-1,30,81034,595,,2,0,37,81034,632,2024,21
20,17,Dokonalé dny,AEROFILMS s.r.o.,JPN,"2D, MP4",9,15,79891,524,-0.505,20,243085,1603,4717304,29709,2024,21
1,3,Garfield ve filmu ,FALCON a.s.,USA,"2D, 4D2",1,217,8664280,48534,7.7153,101,994137,5584,9658417,54118,2024,20
2,1,Království Planeta opic,FALCON a.s.,USA,"2D, IM2, 4D2, 2DA",2,110,2521562.5,11345,-0.075,204,3400892,16305,6558514.5,30488,2024,20
3,2,Kaskadér,"Cinemart, a.s.",USA,"2D, IM2, 2DA",3,94,2159069.68,10073,-0.0205,125,2762888.5,13057,12693408.18,60696,2024,20
4,,Back to Black,"Cinemart, a.s.",USA,2D,1,179,1372757.5,7229,,,,,1372757.5,7229,2024,20
5,4,Tarot,FALCON a.s.,USA,2D,3,42,786628,3646,0.0142,57,1033215,4951,3678064,17665,2024,20
6,,Cizinci: Kapitola 1,"DonArt production, s.r.o.",USA,2D,1,67,761998,3637,,1,0,253,761998,3890,2024,20
7,5,Kung Fu Panda 4,"Cinemart, a.s.",USA,2D,11,34,634721,3251,0.1221,61,711724,3964,41574761,224060,2024,20
8,6,Rivalové,Vertical Entertainment s.r.o.,USA,2D,4,45,509498,2435,-0.0808,58,760983,3687,5215513,30715,2024,20
9,,Zakázaná touha,"CONTINENTAL FILM, s.r.o.",POL,"2D, MP4",1,62,425076,2067,,1,3154,16,478971,2344,2024,20
10,8,Gump - jsme dvojka,"AQS, a.s. (divize BIOSCOP)",CZE,"2D, MP4",8,48,417492,2473,-0.0865,88,559156,4128,22575734,134911,2024,20
11,7,Jak zachránit draka,Forum Film Czech s.r.o.,CHN,2D,5,50,388223,2075,-0.1715,96,525023,2951,8347031,51745,2024,20
12,9,Prázdniny s Broučkem,BONTONFILM a.s.,CZE,"2D, MP4",5,56,369110.4,2027,-0.1797,105,552895,2994,9441014.4,54482,2024,20
13,12,Duna: Část druhá,Vertical Entertainment s.r.o.,USA,"2D, IM2",12,18,265776.2,1208,-0.1831,34,426734,2032,107242344.2,477040,2024,20
14,10,Krotitelé duchů: Říše ledu,FALCON a.s.,USA,2D,6,28,264145,1334,-0.2837,54,418640,2091,9096812,49048,2024,20
15,15,Sladký život,"Cinemart, a.s.",CZE,2D,10,30,242057,1275,0.239,53,308941.5,2080,29945751.5,163477,2024,20
16,14,Domácí příšerky,"CONTINENTAL FILM, s.r.o.",RUS,"2D, MP4",8,28,231241.5,1391,-0.023,43,304101,2000,6151300.5,35283,2024,20
17,17,Dokonalé dny,AEROFILMS s.r.o.,JPN,"2D, MP4",8,14,161378,1041,0.059,29,248446,1685,4555706,28623,2024,20
18,,Společně sami,"AQS, a.s. (divize BIOSCOP)",CZE,2D,1,75,150604,759,,2,3640,187,154244,946,2024,20
19,20,Godzilla x Kong: Nové impérium,Vertical Entertainment s.r.o.,USA,2D,8,12,100495,424,-0.1546,16,139621,621,9465832,45948,2024,20
20,19,Fantastická parta,"DonArt production, s.r.o.",DEU,"2D, MP4",4,38,93008,587,-0.3283,81,146705,900,1605915,11663,2024,20
1,,Království Planeta opic,FALCON a.s.,USA,"2D, IM2, 4D2, 2DA",1,195,2725755,13169,,46,636060,2838,3361815,16007,2024,19
2,1,Kaskadér,"Cinemart, a.s.",USA,"2D, IM2, 4D2, 2DA",2,109,2204086.5,10424,-0.4939,206,6977875,33183,9975536.5,47990,2024,19
3,,Garfield ve filmu ,FALCON a.s.,USA,2D,-1,101,994137,5584,,,,,994137,5584,2024,19
4,2,Tarot,FALCON a.s.,USA,2D,2,48,775558,3679,-0.3005,97,1858221,9068,2633779,12747,2024,19
5,4,Kung Fu Panda 4,"Cinemart, a.s.",USA,"2D, 4D2",10,55,565647,2905,-0.2667,75,1378682,7145,40793963,219750,2024,19
6,3,Rivalové,Vertical Entertainment s.r.o.,USA,2D,3,51,554273,2638,-0.4116,77,1630881,8080,4499305,27231,2024,19
7,6,Jak zachránit draka,Forum Film Czech s.r.o.,CHN,2D,4,93,468572,2634,-0.286,130,1211955,6665,7902357,49353,2024,19
8,7,Gump - jsme dvojka,"AQS, a.s. (divize BIOSCOP)",CZE,"2D, MP4",7,77,457007,3031,-0.2951,105,1162429,7331,22056093,131341,2024,19
9,5,Prázdniny s Broučkem,BONTONFILM a.s.,CZE,"2D, MP4",4,97,449927,2429,-0.3346,126,1200938,6397,8968936,51890,2024,19
10,8,Krotitelé duchů: Říše ledu,FALCON a.s.,USA,"2D, 2DA",5,49,368759,1836,-0.4018,61,1099105,5657,8782786,47459,2024,19
11,10,Duna: Část druhá,Vertical Entertainment s.r.o.,USA,2D,11,28,325316,1459,-0.4105,41,969041,4143,106875150,475259,2024,19
12,9,Django,"AQS, a.s. (divize BIOSCOP)",CZE,2D,2,65,236742,1427,-0.6123,171,1029146,5956,1272098,7881,2024,19
13,11,Domácí příšerky,"CONTINENTAL FILM, s.r.o.",RUS,"2D, MP4",7,39,236672,1352,-0.3467,42,772672,3970,5852630,33244,2024,19
14,14,Sladký život,"Cinemart, a.s.",CZE,2D,9,31,195357.5,1030,-0.3431,67,583172,3471,29590110.5,161152,2024,19
15,17,Dokonalé dny,AEROFILMS s.r.o.,JPN,"2D, MP4",7,20,152381,956,-0.3138,32,385753,2630,4298263,26853,2024,19
16,,Jedna noc,BONTONFILM a.s.,CZE,"2D, MP4",1,120,141893,869,,1,0,576,141893,1445,2024,19
17,13,Fantastická parta,"DonArt production, s.r.o.",DEU,"2D, MP4",3,78,138458,854,-0.5499,122,504100,2928,1504660,11030,2024,19
18,16,Godzilla x Kong: Nové impérium,Vertical Entertainment s.r.o.,USA,2D,7,16,118864,526,-0.5161,26,374934,1704,9344580,45429,2024,19
19,48,Stovky bobrů,AEROFILMS s.r.o.,USA,"2D, MP4",1,48,97553,644,4.9738,7,39091,352,374004,3079,2024,19
20,31,Matka v trapu,FALCON a.s.,CZE,"2D, MP4",12,22,87672,1148,2.0848,20,60225,737,29407341,173260,2024,19
1,153,Kaskadér,"Cinemart, a.s.",USA,"2D, IM2, 4D2, 2DA",1,194,4354281,20826,,51,793575,4383,5147856,25209,2024,18
2,,Tarot,FALCON a.s.,USA,2D,1,88,1108650,5461,,,,,1108650,5461,2024,18
3,2,Rivalové,Vertical Entertainment s.r.o.,USA,2D,2,65,941869,4651,-0.3015,159,2038252,14498,3255610,21124,2024,18
4,5,Kung Fu Panda 4,"Cinemart, a.s.",USA,"2D, 4D2",9,70,771323,4046,-0.3662,66,1592054,13317,39496398.5,213722,2024,18
5,1,Prázdniny s Broučkem,BONTONFILM a.s.,CZE,"2D, MP4",3,101,676104,3618,-0.5268,174,1825445,12423,7978055,46558,2024,18
6,7,Jak zachránit draka,Forum Film Czech s.r.o.,CHN,2D,3,121,656202,3753,-0.385,127,1330847,10749,6878032,43807,2024,18
7,6,Gump - jsme dvojka,"AQS, a.s. (divize BIOSCOP)",CZE,"2D, MP4",6,91,648277,4032,-0.454,128,1550848,11340,20990623,124040,2024,18
8,4,Krotitelé duchů: Říše ledu,FALCON a.s.,USA,"2D, 2DA",4,56,616425,3312,-0.5112,83,1596865,11215,7869416.5,43259,2024,18
9,,Django,"AQS, a.s. (divize BIOSCOP)",CZE,2D,1,152,610604,3549,,2,1440,462,616814,4045,2024,18
10,3,Duna: Část druhá,Vertical Entertainment s.r.o.,USA,"2D, 2DA",10,37,551820,2361,-0.5904,54,1803169,12055,106071871,472011,2024,18
11,12,Domácí příšerky,"CONTINENTAL FILM, s.r.o.",RUS,"2D, MP4",6,38,362264,1841,-0.3237,44,656061.5,5736,5203509.5,29748,2024,18
12,22,Jeden život,Vertical Entertainment s.r.o.,USA,2D,14,25,338827,3589,1.3414,27,214494,2056,20446309,125198,2024,18
13,8,Fantastická parta,"DonArt production, s.r.o.",DEU,"2D, MP4",2,118,307581,1907,-0.578,174,852957,6932,1160538,9081,2024,18
14,9,Sladký život,"Cinemart, a.s.",CZE,2D,8,48,297369,1557,-0.5659,78,880260,5758,29106386.5,158181,2024,18
15,14,Godzilla x Kong: Nové impérium,Vertical Entertainment s.r.o.,USA,2D,6,23,245589,1113,-0.4842,37,586472.5,4256,9006805.5,44323,2024,18
16,20,Dokonalé dny,AEROFILMS s.r.o.,JPN,"2D, MP4",6,23,222043,1609,-0.0801,28,398072,2713,3953149,24723,2024,18
17,18,"Tady Havel, slyšíte mě?","CONTINENTAL FILM, s.r.o.",CZE,"2D, MP4",4,34,194018,1394,-0.3004,66,452307,2980,3222495.5,18968,2024,18
18,15,Nezlomní,BONTONFILM a.s.,USA,2D,4,25,185709,879,-0.5475,41,502845,3385,3116670,15977,2024,18
19,13,Občanská válka,Vertical Entertainment s.r.o.,USA,2D,3,24,164482,742,-0.6563,75,655690,4356,2512710.5,13099,2024,18
20,34,MEDVÍDEK PÚ: KREV A MED II,Vertigo International s.r.o.,USA,2D,1,52,140728,706,2.082,13,45660,609,186388,1315,2024,18
1,2,Prázdniny s Broučkem,BONTONFILM a.s.,CZE,"2D, MP4",2,156,1425672,10218,-0.667,225,4872667,26704,6902178,40735,2024,17
2,6,Duna: Část druhá,Vertical Entertainment s.r.o.,USA,"2D, IM2, 4D2, 2DA",9,49,1343500,10009,-0.3263,62,2395923,10519,105060382,467604,2024,17
3,,Rivalové,Vertical Entertainment s.r.o.,USA,2D,1,144,1282960,10447,,57,275489,1975,1558449,12422,2024,17
4,5,Krotitelé duchů: Říše ledu,FALCON a.s.,USA,"2D, IM2, 4D2, 2DA",3,78,1261050,9563,-0.5313,103,2945696,14748,6917176.5,38295,2024,17
5,4,Kung Fu Panda 4,"Cinemart, a.s.",USA,"2D, 4D2",8,55,1216822,11323,-0.5609,69,3045293.5,15656,38349843.5,207682,2024,17
6,3,Gump - jsme dvojka,"AQS, a.s. (divize BIOSCOP)",CZE,"2D, MP4",5,105,1178073,8885,-0.6411,131,3599825.5,20090,19969571,117553,2024,17
7,1,Jak zachránit draka,Forum Film Czech s.r.o.,CHN,2D,2,118,1062670,9443,-0.763,189,4751482.5,28422,5943219.5,38677,2024,17
8,,Fantastická parta,"DonArt production, s.r.o.",DEU,"2D, MP4",1,164,719197,6171,,1,0,242,719197,6413,2024,17
