poř,min_poř,film,distributor,prod,formát,poč_týd,poč_kin,víkend_tržby,víkend_diváci,změna_v_%,poč_kin,min_týden_tržby,min_týden_diváci,celkem_tržby,celkem_diváci,rok,tyden
1,,"Já, padouch 4","Cinemart, a.s.",USA,"2D, 4D2",-1,154,9209550,53056,,77,3790437,22076,12999987,75132,2024,26
2,,Tiché místo: První den,"Cinemart, a.s.",USA,"2D, IM2, 4D2, 2DA",1,180,3028253,14782,,1,0,139,3028253,14921,2024,26
3,2,Garfield ve filmu ,FALCON a.s.,USA,"2D, 4D2",7,93,2345691,15162,0.3095,113,2967411,20177,34625429,195342,2024,26
4,1,Mizerové: Na život a na smrt,FALCON a.s.,USA,"2D, IM2, 2DA",4,49,1429091,6663,-0.2223,103,2651334,11712,12451491.5,55956,2024,26
5,,Rychle a nemožně,BONTONFILM a.s.,FRA,2D,1,128,937860,4664,,1,4900,35,942760,4699,2024,26
6,4,Imaginární přátelé,"Cinemart, a.s.",USA,2D,5,75,796080,4736,-0.0577,94,1169225,7152,9805959,56021,2024,26
7,8,Kaskadér,"Cinemart, a.s.",USA,2D,9,41,732853,4280,0.1762,47,1170927,7271,20998133.5,102802,2024,26
8,,Horizont: Americká sága,Vertigo International s.r.o.,USA,"2D, 2DA",1,99,515585,2525,,,,,515585,2525,2024,26
9,11,Sladký život,"Cinemart, a.s.",CZE,"2D, MP4",16,37,507095,3414,0.7943,51,417998,2576,32125861,179120,2024,26
10,17,Prázdniny s Broučkem,BONTONFILM a.s.,CZE,"2D, MP4",11,59,479355,4678,2.0158,47,247189,2157,11391226,70139,2024,26
11,15,Gump - jsme dvojka,"AQS, a.s. (divize BIOSCOP)",CZE,"2D, MP4",14,46,440449,4375,1.1695,68,572325,6026,25252656,158952,2024,26
12,7,Furiosa: Sága Šíleného Maxe,Vertical Entertainment s.r.o.,USA,"2D, 2DA",6,41,422227,2017,-0.3282,78,888639,4175,14335221,64755,2024,26
13,14,Kung Fu Panda 4,"Cinemart, a.s.",USA,"DVD, 2D",17,49,414068,3355,0.7117,50,513221.5,4175,44334550.5,242779,2024,26
14,5,Motorkáři,"Cinemart, a.s.",USA,2D,2,77,387460,1882,-0.4718,215,1090701,5617,1492116,7741,2024,26
15,10,Království Planeta opic,FALCON a.s.,USA,2D,8,25,315425,1927,-0.1181,41,558211,3002,12295090,57708,2024,26
16,9,Lassie: Nové dobrodružství  ,BONTONFILM a.s.,DEU,"2D, MP4",2,94,283144,1817,-0.3985,188,696859,4521,981663,6640,2024,26
17,42,Ptáci stěhováci,"Cinemart, a.s.",USA,"DVD, 2D",28,23,185750,2270,5.2061,26,188370,2781,38474062,223435,2024,26
18,12,Strážci,Vertical Entertainment s.r.o.,USA,2D,4,29,147716,655,-0.4439,61,382986,1793,1833530,8765,2024,26
19,20,Krotitelé duchů: Říše ledu,FALCON a.s.,USA,2D,12,12,142629,1154,0.4514,23,279543,2411,10176566,57128,2024,26
20,16,Tarot,FALCON a.s.,USA,2D,9,11,130561,628,-0.309,25,279860,1324,6348290,30135,2024,26
1,1,Mizerové: Na život a na smrt,FALCON a.s.,USA,"2D, IM2, 4D2, 2DA",3,87,1837511,7942,-0.3811,130,3795536.5,16771,10208577.5,45523,2024,25
2,2,Garfield ve filmu ,FALCON a.s.,USA,"2D, 4D2",6,94,1791164,10402,-0.2079,130,2801259,15522,31103491,170405,2024,25
3,3,Imaginární přátelé,"Cinemart, a.s.",USA,2D,4,86,844780,4648,-0.3068,119,1441185,7764,8685434,48781,2024,25
4,,Motorkáři,"Cinemart, a.s.",USA,2D,1,199,733415,3783,,8,13955,242,747370,4025,2024,25
5,4,Furiosa: Sága Šíleného Maxe,Vertical Entertainment s.r.o.,USA,"2D, IM2, 2DA",5,61,628465,2868,-0.398,112,1356580,6204,13652820,61431,2024,25
6,5,Kaskadér,"Cinemart, a.s.",USA,2D,8,36,623068,3212,-0.125,79,971958,4961,19717421.5,94463,2024,25
7,134,Lassie: Nové dobrodružství  ,BONTONFILM a.s.,DEU,"2D, MP4",1,176,470669,2870,282.5355,2,1660,302,472329,3172,2024,25
8,6,Království Planeta opic,FALCON a.s.,USA,"2D, 2DA",7,33,357628,1751,-0.3157,55,673184,3183,11779082,54530,2024,25
